===== Starting battle of <Backtracker> vs <PolarBearMkII> with memory tape size: 13 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 128 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | 128 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-1 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-2 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-3 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-4 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | -4 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >1 | -4 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 1 | -4 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >-1 | 1 | -4 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >0 | -1 | 1 | -4 | -1< | 2 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >1 | -1 | 1 | -4 | -1< | 2 | 128 ]
