===== Starting battle of <BeatYouMate> vs <RandomOscillator> with memory tape size: 13 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ 128 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 128 ]
[ 128 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 128 ]
[ 128 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 128 ]
[ 128 | >-5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | -1 | 128 ]
[ 128 | >-6 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -1 | 128 ]
[ 128 | -6 | >0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | -1 | 128 ]
[ 128 | -6 | >1 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | >2 | 0 | 0 | 0 | 0 | 1< | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | >3 | 0 | 0 | 0 | 0< | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | >4 | 0 | 0 | 0 | -1< | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | >5 | 0 | 0 | 0< | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | >6 | 0 | 0 | -1< | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | >7 | 0 | 0< | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | >0 | 1< | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | >-1< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | >-2< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | >-2< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | >-3< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | >-5< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | >-6< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -7< | >1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -7< | >2 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -8< | >3 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -8< | >4 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -9< | >5 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -9< | >6 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -10< | >7 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -10< | >8 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -11< | 8 | >-1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -11< | 8 | >-2 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -12< | 8 | >-3 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -12< | 8 | >-4 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -13< | 8 | >-5 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -13< | 8 | >-6 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -14< | 8 | >-7 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -14< | 8 | -7 | >-1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -15< | 8 | -7 | >0 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -15< | 8 | -7 | >1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -16< | 8 | -7 | >2 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -16< | 8 | -7 | >3 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -17< | 8 | -7 | >4 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -17< | 8 | -7 | >5 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -18< | 8 | -7 | >6 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -18< | 8 | -7 | 6 | >1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -19< | 8 | -7 | 6 | >0 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -19< | 8 | -7 | 6 | >-1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -20< | 8 | -7 | 6 | >-2 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -20< | 8 | -7 | 6 | >-3 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -21< | 8 | -7 | 6 | >-4 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -21< | 8 | -7 | 6 | >-5 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -22< | 8 | -7 | 6 | -5 | >1 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -22< | 8 | -7 | 6 | -5 | >2 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -23< | 8 | -7 | 6 | -5 | >3 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -23< | 8 | -7 | 6 | -5 | >4 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -24< | 8 | -7 | 6 | -5 | >5 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -24< | 8 | -7 | 6 | -5 | >6 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -25< | 8 | -7 | 6 | -5 | >7 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -25< | 8 | -7 | 6 | -5 | >8 | -1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -26< | 8 | -7 | 6 | -5 | 8 | >-1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -26< | 8 | -7 | 6 | -5 | 8 | >-1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -27< | 8 | -7 | 6 | -5 | 8 | >0 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -27< | 8 | -7 | 6 | -5 | 8 | >1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -28< | 8 | -7 | 6 | -5 | 8 | >2 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -28< | 8 | -7 | 6 | -5 | 8 | >3 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -29< | 8 | -7 | 6 | -5 | 8 | >4 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -29< | 8 | -7 | 6 | -5 | 8 | >5 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -30< | 8 | -7 | 6 | -5 | 8 | >5 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -30< | 8 | -7 | 6 | -5 | 8 | >4 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -31< | 8 | -7 | 6 | -5 | 8 | >4 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -31< | 8 | -7 | 6 | -5 | 8 | >3 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -32< | 8 | -7 | 6 | -5 | 8 | >3 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -32< | 8 | -7 | 6 | -5 | 8 | >2 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -33< | 8 | -7 | 6 | -5 | 8 | >2 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -33< | 8 | -7 | 6 | -5 | 8 | >1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -34< | 8 | -7 | 6 | -5 | 8 | >1 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -34< | 8 | -7 | 6 | -5 | 8 | >0 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -35< | 8 | -7 | 6 | -5 | 8 | >0 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -35< | 8 | -7 | 6 | -5 | 8 | >0 | 1 | -1 | 128 ]
[ 128 | -6 | 7 | -36< | 8 | -7 | 6 | -5 | 8 | 0 | >1 | -1 | 128 ]
[ 128 | -6 | 7 | -36< | 8 | -7 | 6 | -5 | 8 | 0 | >1 | -1 | 128 ]
[ 128 | -6 | 7 | -37< | 8 | -7 | 6 | -5 | 8 | 0 | >2 | -1 | 128 ]
[ 128 | -6 | 7 | -37< | 8 | -7 | 6 | -5 | 8 | 0 | >3 | -1 | 128 ]
[ 128 | -6 | 7 | -38< | 8 | -7 | 6 | -5 | 8 | 0 | >4 | -1 | 128 ]
[ 128 | -6 | 7 | -38< | 8 | -7 | 6 | -5 | 8 | 0 | >5 | -1 | 128 ]
[ 128 | -6 | 7 | -39< | 8 | -7 | 6 | -5 | 8 | 0 | >6 | -1 | 128 ]
[ 128 | -6 | 7 | -39< | 8 | -7 | 6 | -5 | 8 | 0 | >7 | -1 | 128 ]
[ 128 | -6 | 7 | -40< | 8 | -7 | 6 | -5 | 8 | 0 | >7 | -1 | 128 ]
[ 128 | -6 | 7 | -40< | 8 | -7 | 6 | -5 | 8 | 0 | >6 | -1 | 128 ]
[ 128 | -6 | 7 | -41< | 8 | -7 | 6 | -5 | 8 | 0 | >6 | -1 | 128 ]
[ 128 | -6 | 7 | -41< | 8 | -7 | 6 | -5 | 8 | 0 | >5 | -1 | 128 ]
[ 128 | -6 | 7 | -42< | 8 | -7 | 6 | -5 | 8 | 0 | >5 | -1 | 128 ]
[ 128 | -6 | 7 | -42< | 8 | -7 | 6 | -5 | 8 | 0 | >4 | -1 | 128 ]
[ 128 | -6 | 7 | -43< | 8 | -7 | 6 | -5 | 8 | 0 | >4 | -1 | 128 ]
[ 128 | -6 | 7 | -43< | 8 | -7 | 6 | -5 | 8 | 0 | >3 | -1 | 128 ]
[ 128 | -6 | 7 | -44< | 8 | -7 | 6 | -5 | 8 | 0 | >3 | -1 | 128 ]
[ 128 | -6 | 7 | -44< | 8 | -7 | 6 | -5 | 8 | 0 | >2 | -1 | 128 ]
[ 128 | -6 | 7 | -45< | 8 | -7 | 6 | -5 | 8 | 0 | >2 | -1 | 128 ]
[ 128 | -6 | 7 | -45< | 8 | -7 | 6 | -5 | 8 | 0 | >1 | -1 | 128 ]
[ 128 | -6 | 7 | -46< | 8 | -7 | 6 | -5 | 8 | 0 | >1 | -1 | 128 ]
[ 128 | -6 | 7 | -46< | 8 | -7 | 6 | -5 | 8 | 0 | >0 | -1 | 128 ]
[ 128 | -6 | 7 | -47< | 8 | -7 | 6 | -5 | 8 | 0 | >0 | -1 | 128 ]
[ 128 | -6 | 7 | -47< | 8 | -7 | 6 | -5 | 8 | 0 | >0 | -1 | 128 ]
[ 128 | -6 | 7 | -48< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >-1 | 128 ]
[ 128 | -6 | 7 | -48< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >-1 | 128 ]
[ 128 | -6 | 7 | -49< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >0 | 128 ]
[ 128 | -6 | 7 | -49< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >1 | 128 ]
[ 128 | -6 | 7 | -50< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >2 | 128 ]
[ 128 | -6 | 7 | -50< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >3 | 128 ]
[ 128 | -6 | 7 | -51< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >4 | 128 ]
[ 128 | -6 | 7 | -51< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >5 | 128 ]
[ 128 | -6 | 7 | -52< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >5 | 128 ]
[ 128 | -6 | 7 | -52< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >4 | 128 ]
[ 128 | -6 | 7 | -53< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >4 | 128 ]
[ 128 | -6 | 7 | -53< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >3 | 128 ]
[ 128 | -6 | 7 | -54< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >3 | 128 ]
[ 128 | -6 | 7 | -54< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >2 | 128 ]
[ 128 | -6 | 7 | -55< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >2 | 128 ]
[ 128 | -6 | 7 | -55< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >1 | 128 ]
[ 128 | -6 | 7 | -56< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >1 | 128 ]
[ 128 | -6 | 7 | -56< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >0 | 128 ]
[ 128 | -6 | 7 | -57< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >0 | 128 ]
[ 128 | -6 | 7 | -57< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | >0 | 128 ]
[ 128 | -6 | 7 | -58< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >128 ]
[ 128 | -6 | 7 | -58< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >128 ]
[ 128 | -6 | 7 | -59< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-127 ]
[ 128 | -6 | 7 | -59< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-126 ]
[ 128 | -6 | 7 | -60< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-125 ]
[ 128 | -6 | 7 | -60< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-124 ]
[ 128 | -6 | 7 | -61< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-123 ]
[ 128 | -6 | 7 | -61< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-122 ]
[ 128 | -6 | 7 | -62< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-122 ]
[ 128 | -6 | 7 | -62< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-123 ]
[ 128 | -6 | 7 | -63< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-123 ]
[ 128 | -6 | 7 | -63< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-124 ]
[ 128 | -6 | 7 | -64< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-124 ]
[ 128 | -6 | 7 | -64< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-125 ]
[ 128 | -6 | 7 | -65< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-125 ]
[ 128 | -6 | 7 | -65< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-126 ]
[ 128 | -6 | 7 | -66< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-126 ]
[ 128 | -6 | 7 | -66< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-127 ]
[ 128 | -6 | 7 | -67< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >-127 ]
[ 128 | -6 | 7 | -67< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >128 ]
[ 128 | -6 | 7 | -68< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >128 ]
[ 128 | -6 | 7 | -68< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >127 ]
[ 128 | -6 | 7 | -69< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >127 ]
[ 128 | -6 | 7 | -69< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >126 ]
[ 128 | -6 | 7 | -70< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >126 ]
[ 128 | -6 | 7 | -70< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >125 ]
[ 128 | -6 | 7 | -71< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >125 ]
[ 128 | -6 | 7 | -71< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >124 ]
[ 128 | -6 | 7 | -72< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >124 ]
[ 128 | -6 | 7 | -72< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >123 ]
[ 128 | -6 | 7 | -73< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >123 ]
[ 128 | -6 | 7 | -73< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >122 ]
[ 128 | -6 | 7 | -74< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >122 ]
[ 128 | -6 | 7 | -74< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >121 ]
[ 128 | -6 | 7 | -75< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >121 ]
[ 128 | -6 | 7 | -75< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >120 ]
[ 128 | -6 | 7 | -76< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >120 ]
[ 128 | -6 | 7 | -76< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >119 ]
[ 128 | -6 | 7 | -77< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >119 ]
[ 128 | -6 | 7 | -77< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >118 ]
[ 128 | -6 | 7 | -78< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >118 ]
[ 128 | -6 | 7 | -78< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >117 ]
[ 128 | -6 | 7 | -79< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >117 ]
[ 128 | -6 | 7 | -79< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >116 ]
[ 128 | -6 | 7 | -80< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >116 ]
[ 128 | -6 | 7 | -80< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >115 ]
[ 128 | -6 | 7 | -81< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >115 ]
[ 128 | -6 | 7 | -81< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >114 ]
[ 128 | -6 | 7 | -82< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >114 ]
[ 128 | -6 | 7 | -82< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >113 ]
[ 128 | -6 | 7 | -83< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >113 ]
[ 128 | -6 | 7 | -83< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >112 ]
[ 128 | -6 | 7 | -84< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >112 ]
[ 128 | -6 | 7 | -84< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >111 ]
[ 128 | -6 | 7 | -85< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >111 ]
[ 128 | -6 | 7 | -85< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >110 ]
[ 128 | -6 | 7 | -86< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >110 ]
[ 128 | -6 | 7 | -86< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >109 ]
[ 128 | -6 | 7 | -87< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >109 ]
[ 128 | -6 | 7 | -87< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >108 ]
[ 128 | -6 | 7 | -88< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >108 ]
[ 128 | -6 | 7 | -88< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >107 ]
[ 128 | -6 | 7 | -89< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >107 ]
[ 128 | -6 | 7 | -89< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >106 ]
[ 128 | -6 | 7 | -90< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >106 ]
[ 128 | -6 | 7 | -90< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >105 ]
[ 128 | -6 | 7 | -91< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >105 ]
[ 128 | -6 | 7 | -91< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >104 ]
[ 128 | -6 | 7 | -92< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >104 ]
[ 128 | -6 | 7 | -92< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >103 ]
[ 128 | -6 | 7 | -93< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >103 ]
[ 128 | -6 | 7 | -93< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >102 ]
[ 128 | -6 | 7 | -94< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >102 ]
[ 128 | -6 | 7 | -94< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >101 ]
[ 128 | -6 | 7 | -95< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >101 ]
[ 128 | -6 | 7 | -95< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >100 ]
[ 128 | -6 | 7 | -96< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >100 ]
[ 128 | -6 | 7 | -96< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >99 ]
[ 128 | -6 | 7 | -97< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >99 ]
[ 128 | -6 | 7 | -97< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >98 ]
[ 128 | -6 | 7 | -98< | 8 | -7 | 6 | -5 | 8 | 0 | 0 | 0 | >98 ]
