===== Starting battle of <BurlyBalder> vs <PrussianRoulette> with memory tape size: 12 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 128 ]
[ 128 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | 128 ]
[ 128 | >3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3< | 128 ]
[ 128 | >4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 128 ]
[ 128 | >5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5< | 128 ]
[ 128 | >6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 128 ]
[ 128 | >7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 128 ]
[ 128 | 7 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 128 ]
[ 128 | 7 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 4 | 128 ]
[ 128 | 7 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 4 | 128 ]
[ 128 | 7 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 4 | 128 ]
[ 128 | 7 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 4 | 128 ]
[ 128 | 7 | >-5 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 4 | 128 ]
[ 128 | 7 | >-6 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 4 | 128 ]
[ 128 | 7 | >-7 | 0 | 0 | 0 | 0 | -1< | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >0 | 0 | 0 | 0 | -1< | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >1 | 0 | 0 | 0 | -1< | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >2 | 0 | 0 | 0< | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >3 | 0 | 0 | 0< | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >4 | 0 | 0 | 0< | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >5 | 0 | 0 | 0< | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >6 | 0 | 0< | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >7 | 0< | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-1< | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-2< | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-3< | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7< | >-4 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7< | >-5 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7< | >-6 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7< | 7 | >-7 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -8< | 7 | >-8 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -9< | 7 | -8 | >0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -10< | 7 | -8 | >1 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -11< | 7 | -8 | >2 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -12< | 7 | -8 | >3 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -13< | 7 | -8 | >4 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -14< | 7 | -8 | >5 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -15< | 7 | -8 | >6 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -16< | 7 | -8 | >7 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -17< | 7 | -8 | 7 | >0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -17< | 7 | -8 | 7 | >-1 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7< | -17 | 7 | -8 | 7 | >-2 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 6< | -17 | 7 | -8 | 7 | >-3 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 5< | -17 | 7 | -8 | 7 | >-4 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 4< | -17 | 7 | -8 | 7 | >-5 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 3< | -17 | 7 | -8 | 7 | >-6 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 2< | -17 | 7 | -8 | 7 | >-7 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 1< | -17 | 7 | -8 | 7 | -7 | >-1 | 0 | 0 | 4 | 128 ]
[ 128 | 0< | -17 | 7 | -8 | 7 | -7 | >0 | 0 | 0 | 4 | 128 ]
[ 128 | -1< | -17 | 7 | -8 | 7 | -7 | >1 | 0 | 0 | 4 | 128 ]
[ 128 | -2< | -17 | 7 | -8 | 7 | -7 | >2 | 0 | 0 | 4 | 128 ]
[ 128 | -3< | -17 | 7 | -8 | 7 | -7 | >3 | 0 | 0 | 4 | 128 ]
[ 128 | -3< | -17 | 7 | -8 | 7 | -7 | >4 | 0 | 0 | 4 | 128 ]
[ 128< | -3 | -17 | 7 | -8 | 7 | -7 | >5 | 0 | 0 | 4 | 128 ]
[ 127< | -3 | -17 | 7 | -8 | 7 | -7 | >6 | 0 | 0 | 4 | 128 ]
[ 126< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | >0 | 0 | 4 | 128 ]
[ 125< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | >-1 | 0 | 4 | 128 ]
[ 124< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | >-2 | 0 | 4 | 128 ]
[ 123< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | >-3 | 0 | 4 | 128 ]
[ 122< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | >-4 | 0 | 4 | 128 ]
[ 121< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | >-5 | 0 | 4 | 128 ]
[ 120< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | >-6 | 0 | 4 | 128 ]
[ 119< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | >-7 | 0 | 4 | 128 ]
[ 118< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | >-7 | 0 | 4 | 128 ]
[ 118< | -3 | -17 | 7 | -8 | 7 | -7 | 6 | -7 | >0 | 4 | 128 ]
[ 118 | -3 | -17 | 7 | -8 | 7 | -7 | 6 | -7 | >0 | 4 | 128< ]

===== BurlyBalder won the battle after 67 cycles =====



===== Starting battle of <BurlyBalder> vs <PrussianRoulette> with memory tape size: 17 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 128 ]
[ 128 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | 128 ]
[ 128 | >3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3< | 128 ]
[ 128 | >4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 128 ]
[ 128 | >5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5< | 128 ]
[ 128 | >6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 128 ]
[ 128 | >7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 128 ]
[ 128 | 7 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 128 ]
[ 128 | 7 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 4 | 128 ]
[ 128 | 7 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 4 | 128 ]
[ 128 | 7 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 4 | 128 ]
[ 128 | 7 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 4 | 128 ]
[ 128 | 7 | >-5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 4 | 128 ]
[ 128 | 7 | >-6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 4 | 128 ]
[ 128 | 7 | >-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >6 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | >7 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >0 | 0 | 0 | 0 | 0 | -1< | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-1 | 0 | 0 | 0 | 0 | -1< | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-2 | 0 | 0 | 0 | 0 | -1< | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-3 | 0 | 0 | 0 | 0< | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-4 | 0 | 0 | 0 | 0< | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-5 | 0 | 0 | 0 | 0< | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-6 | 0 | 0 | 0 | 0< | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | >-7 | 0 | 0 | 0< | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -7 | >0 | 0< | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -7 | >1 | -1< | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -7 | >2 | -1< | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -7 | >3 | -1< | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -7 | >4< | -1 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -7 | >5< | -1 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -7 | >6< | -1 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -7< | >7 | -1 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -8< | 7 | >-1 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -9< | 7 | >-2 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -10< | 7 | >-3 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -11< | 7 | >-4 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -12< | 7 | >-5 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -13< | 7 | >-6 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -14< | 7 | >-7 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -15< | 7 | >-8 | 0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -16< | 7 | -8 | >0 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -17< | 7 | -8 | >1 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 7 | -17< | 7 | -8 | >2 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
