===== Starting battle of <CantTouchThis> vs <CounterPunch> with memory tape size: 10 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -127< ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -126< ]
[ 128 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -125< ]
[ 128 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -124< ]
[ 128 | -3 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | -123< ]
[ 128 | -3 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | -122< ]
[ 128 | -3 | 1 | >0 | 0 | 0 | 0 | 0 | 0< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -1< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -2< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -3< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -4< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -5< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -6< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -7< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -8< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -9< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -10< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -11< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0 | -12< | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0 | 0< | -12 | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0 | 0< | 0 | -12 | -122 ]
[ 128 | -3 | 1 | >1 | 0 | 0< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | 1 | >1 | 0< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | 1 | >1< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | 1< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3< | 1 | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | 1< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | 0< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -1< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -2< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -3< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -4< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -5< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -6< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -7< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -8< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -9< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -10< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11< | >1 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >1< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >2< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >3< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >4< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >5< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >6< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >7< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >8< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >9< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >10< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >11< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >12< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | 0< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -1< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -2< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -3< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -4< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -5< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -6< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -7< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -8< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -9< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -10< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -11< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 0< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 1< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 2< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 3< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 4< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 5< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 6< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 7< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 8< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 9< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 10< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 11< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12< | 0 | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | 0< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -1< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -2< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -3< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -4< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -5< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -6< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -7< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -8< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -9< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -10< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -11< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12< | 0 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 0< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 1< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 2< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 3< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 4< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 5< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 6< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 7< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 8< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 9< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 10< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 11< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12 | 12< | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12 | -12< | 12 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12 | 12< | -12 | 12 | -12 | -122 ]
[ 128 | -3 | -11 | >13 | -12< | 12 | -12 | 12 | -12 | -122 ]
[ 128 | -3 | -11 | >13< | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 128 | -3 | -11< | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 128 | -3< | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 128< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 128< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 127< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 127< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 126< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 125< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 124< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 123< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 122< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 121< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 121< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 122< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 122< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 122< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 123< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ 123< | -3 | -11 | >13 | -12 | 12 | -12 | 12 | -12 | -122 ]
