===== Starting battle of <CleanUpOnAisleSix> vs <CounterPunch> with memory tape size: 11 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -127< ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -127 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | -1< | -127 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | -2< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | -3< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | >-1 | 0 | 0 | 0 | -4< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | >-2 | 0 | 0 | 0 | -5< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | >-3 | 0 | 0 | 0 | -6< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | >-4 | 0 | 0 | 0 | -7< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | -4 | >0 | 0 | 0 | -8< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | -4 | >1 | 0 | 0 | -9< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | -4 | >1 | 0 | 0 | -10< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | -4 | >1 | 0 | 0 | -11< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | -4 | >1 | 0 | 0 | -12< | -127 ]
[ 128 | 0 | 0 | 0 | 0 | -4 | >1 | 0 | 0< | -12 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | -4 | >1 | 0< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | -4 | >1< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | -4< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | 0 | 0< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | 0< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0< | 0 | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | 0< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -1< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -2< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -3< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -4< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -5< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -6< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -7< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -8< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -9< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -10< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -11< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12< | 0 | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 0< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 1< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 2< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 3< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 4< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 5< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 6< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 7< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 8< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 9< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 10< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 11< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12< | -4 | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -4< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -5< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -6< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -7< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -8< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -9< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -10< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -11< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -12< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -13< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -14< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -15< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16< | >1 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >1< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >2< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >3< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >4< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >5< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >6< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >7< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >8< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >9< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >10< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >11< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >12< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13< | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | 0< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -1< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -2< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -3< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -4< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -5< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -6< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -7< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -8< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -9< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -10< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -11< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -12< | 0 | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -12 | 0< | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -12 | 1< | -12 | -127 ]
[ 128 | 0 | 0 | -12 | 12 | -16 | >13 | -12 | 2< | -12 | -127 ]
