===== Starting battle of <DecoyBot> vs <Plodder> with memory tape size: 13 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ 128 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | 128 ]
[ 128 | >3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | 128 ]
[ 128 | >4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | 128 ]
[ 128 | >5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | 128 ]
[ 128 | >6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -4 | 128 ]
[ 128 | >7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | -4 | 128 ]
[ 128 | >8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | -4 | 128 ]
[ 128 | >9 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | -4 | 128 ]
[ 128 | >10 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | -4 | 128 ]
[ 128 | 10 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -4 | -4 | 128 ]
[ 128 | 10 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | -4 | -4 | 128 ]
[ 128 | 10 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | -4 | -4 | 128 ]
[ 128 | 10 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | -4 | -4 | 128 ]
[ 128 | 10 | >-4 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | -4 | -4 | 128 ]
[ 128 | 10 | >-5 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | -4 | -4 | 128 ]
[ 128 | 10 | >-6 | 0 | 0 | 0 | 0 | 0 | 2< | -4 | -4 | -4 | 128 ]
[ 128 | 10 | >-7 | 0 | 0 | 0 | 0 | 0< | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | >-8 | 0 | 0 | 0 | 0 | -1< | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | >-9 | 0 | 0 | 0 | 0 | -2< | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | >-10 | 0 | 0 | 0 | 0< | -2 | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | >0 | 0 | 0 | 1< | -2 | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | >1 | 0 | 0< | 1 | -2 | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | >0 | -1< | 1 | -2 | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | >-1 | -1 | 1< | -2 | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | >-1 | 1 | -2< | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | >0 | 1 | -3< | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 0 | >1 | -4< | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 0 | >0< | -4 | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 0 | 1< | >-4 | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 0< | 1 | >-3 | 2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | -1< | 1 | -3 | >2 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | -2< | 1 | -3 | >1 | -4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | -3< | 1 | -3 | 1 | >-4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | -1< | -3 | 1 | -3 | 1 | >-4 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1 | 0< | -3 | 1 | -3 | 1 | >-5 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | -3 | 1 | -3 | 1 | >-5 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | -3 | 1 | -3 | 1 | >-6 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | -3 | 1 | -3 | 1 | >-6 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | -3 | 1 | -3 | 1 | >-7 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 2< | 0 | -3 | 1 | -3 | 1 | >-7 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 3< | 0 | -3 | 1 | -3 | 1 | >-8 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 4< | 0 | -3 | 1 | -3 | 1 | >-8 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 5< | 0 | -3 | 1 | -3 | 1 | >-9 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 6< | 0 | -3 | 1 | -3 | 1 | >-9 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 7< | 0 | -3 | 1 | -3 | 1 | >-10 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 8< | 0 | -3 | 1 | -3 | 1 | >-10 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 9< | 0 | -3 | 1 | -3 | 1 | >-11 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 10< | 0 | -3 | 1 | -3 | 1 | >-11 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 11< | 0 | -3 | 1 | -3 | 1 | >-12 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 12< | 0 | -3 | 1 | -3 | 1 | >-12 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 13< | 0 | -3 | 1 | -3 | 1 | >-13 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 14< | 0 | -3 | 1 | -3 | 1 | >-13 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 15< | 0 | -3 | 1 | -3 | 1 | >-14 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 16< | 0 | -3 | 1 | -3 | 1 | >-14 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 17< | 0 | -3 | 1 | -3 | 1 | >-15 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 18< | 0 | -3 | 1 | -3 | 1 | >-15 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 19< | 0 | -3 | 1 | -3 | 1 | >-16 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 20< | 0 | -3 | 1 | -3 | 1 | >-16 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 21< | 0 | -3 | 1 | -3 | 1 | >-17 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 22< | 0 | -3 | 1 | -3 | 1 | >-17 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 23< | 0 | -3 | 1 | -3 | 1 | >-18 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 24< | 0 | -3 | 1 | -3 | 1 | >-18 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 25< | 0 | -3 | 1 | -3 | 1 | >-19 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 26< | 0 | -3 | 1 | -3 | 1 | >-19 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 27< | 0 | -3 | 1 | -3 | 1 | >-20 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 28< | 0 | -3 | 1 | -3 | 1 | >-20 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 29< | 0 | -3 | 1 | -3 | 1 | >-21 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 30< | 0 | -3 | 1 | -3 | 1 | >-21 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 31< | 0 | -3 | 1 | -3 | 1 | >-22 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 32< | 0 | -3 | 1 | -3 | 1 | >-22 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 33< | 0 | -3 | 1 | -3 | 1 | >-23 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 34< | 0 | -3 | 1 | -3 | 1 | >-23 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 35< | 0 | -3 | 1 | -3 | 1 | >-24 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 36< | 0 | -3 | 1 | -3 | 1 | >-24 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 37< | 0 | -3 | 1 | -3 | 1 | >-25 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 38< | 0 | -3 | 1 | -3 | 1 | >-25 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 39< | 0 | -3 | 1 | -3 | 1 | >-26 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 40< | 0 | -3 | 1 | -3 | 1 | >-26 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 41< | 0 | -3 | 1 | -3 | 1 | >-27 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 42< | 0 | -3 | 1 | -3 | 1 | >-27 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 43< | 0 | -3 | 1 | -3 | 1 | >-28 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 44< | 0 | -3 | 1 | -3 | 1 | >-28 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 45< | 0 | -3 | 1 | -3 | 1 | >-29 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 46< | 0 | -3 | 1 | -3 | 1 | >-29 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 47< | 0 | -3 | 1 | -3 | 1 | >-30 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 48< | 0 | -3 | 1 | -3 | 1 | >-30 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 49< | 0 | -3 | 1 | -3 | 1 | >-31 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 50< | 0 | -3 | 1 | -3 | 1 | >-31 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 51< | 0 | -3 | 1 | -3 | 1 | >-32 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 52< | 0 | -3 | 1 | -3 | 1 | >-32 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 53< | 0 | -3 | 1 | -3 | 1 | >-33 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 54< | 0 | -3 | 1 | -3 | 1 | >-33 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 55< | 0 | -3 | 1 | -3 | 1 | >-34 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 56< | 0 | -3 | 1 | -3 | 1 | >-34 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 57< | 0 | -3 | 1 | -3 | 1 | >-35 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 58< | 0 | -3 | 1 | -3 | 1 | >-35 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 59< | 0 | -3 | 1 | -3 | 1 | >-36 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 60< | 0 | -3 | 1 | -3 | 1 | >-36 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 61< | 0 | -3 | 1 | -3 | 1 | >-37 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 62< | 0 | -3 | 1 | -3 | 1 | >-37 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 63< | 0 | -3 | 1 | -3 | 1 | >-38 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 64< | 0 | -3 | 1 | -3 | 1 | >-38 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 65< | 0 | -3 | 1 | -3 | 1 | >-39 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 66< | 0 | -3 | 1 | -3 | 1 | >-39 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 67< | 0 | -3 | 1 | -3 | 1 | >-40 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 68< | 0 | -3 | 1 | -3 | 1 | >-40 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 69< | 0 | -3 | 1 | -3 | 1 | >-41 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 70< | 0 | -3 | 1 | -3 | 1 | >-41 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 71< | 0 | -3 | 1 | -3 | 1 | >-42 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 72< | 0 | -3 | 1 | -3 | 1 | >-42 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 73< | 0 | -3 | 1 | -3 | 1 | >-43 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 74< | 0 | -3 | 1 | -3 | 1 | >-43 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 75< | 0 | -3 | 1 | -3 | 1 | >-44 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 76< | 0 | -3 | 1 | -3 | 1 | >-44 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 77< | 0 | -3 | 1 | -3 | 1 | >-45 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 78< | 0 | -3 | 1 | -3 | 1 | >-45 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 78< | 0 | -3 | 1 | -3 | 1 | >-46 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 79< | 0 | -3 | 1 | -3 | 1 | >-46 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 79< | 0 | -3 | 1 | -3 | 1 | >-47 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 80< | 0 | -3 | 1 | -3 | 1 | >-47 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 80< | 0 | -3 | 1 | -3 | 1 | >-48 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 81< | 0 | -3 | 1 | -3 | 1 | >-48 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 81< | 0 | -3 | 1 | -3 | 1 | >-49 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 82< | 0 | -3 | 1 | -3 | 1 | >-49 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 82< | 0 | -3 | 1 | -3 | 1 | >-50 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 83< | 0 | -3 | 1 | -3 | 1 | >-50 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 83< | 0 | -3 | 1 | -3 | 1 | >-51 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 84< | 0 | -3 | 1 | -3 | 1 | >-51 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 84< | 0 | -3 | 1 | -3 | 1 | >-52 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 85< | 0 | -3 | 1 | -3 | 1 | >-52 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 85< | 0 | -3 | 1 | -3 | 1 | >-53 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 86< | 0 | -3 | 1 | -3 | 1 | >-53 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 86< | 0 | -3 | 1 | -3 | 1 | >-54 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 87< | 0 | -3 | 1 | -3 | 1 | >-54 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 87< | 0 | -3 | 1 | -3 | 1 | >-55 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 88< | 0 | -3 | 1 | -3 | 1 | >-55 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 88< | 0 | -3 | 1 | -3 | 1 | >-56 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 89< | 0 | -3 | 1 | -3 | 1 | >-56 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 89< | 0 | -3 | 1 | -3 | 1 | >-57 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 90< | 0 | -3 | 1 | -3 | 1 | >-57 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 90< | 0 | -3 | 1 | -3 | 1 | >-58 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 91< | 0 | -3 | 1 | -3 | 1 | >-58 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 91< | 0 | -3 | 1 | -3 | 1 | >-59 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 92< | 0 | -3 | 1 | -3 | 1 | >-59 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 92< | 0 | -3 | 1 | -3 | 1 | >-60 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 93< | 0 | -3 | 1 | -3 | 1 | >-60 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 93< | 0 | -3 | 1 | -3 | 1 | >-61 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 94< | 0 | -3 | 1 | -3 | 1 | >-61 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 94< | 0 | -3 | 1 | -3 | 1 | >-62 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 95< | 0 | -3 | 1 | -3 | 1 | >-62 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 95< | 0 | -3 | 1 | -3 | 1 | >-63 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 96< | 0 | -3 | 1 | -3 | 1 | >-63 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 96< | 0 | -3 | 1 | -3 | 1 | >-64 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 97< | 0 | -3 | 1 | -3 | 1 | >-64 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 97< | 0 | -3 | 1 | -3 | 1 | >-65 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 98< | 0 | -3 | 1 | -3 | 1 | >-65 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 98< | 0 | -3 | 1 | -3 | 1 | >-66 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 99< | 0 | -3 | 1 | -3 | 1 | >-66 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 99< | 0 | -3 | 1 | -3 | 1 | >-67 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 100< | 0 | -3 | 1 | -3 | 1 | >-67 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 100< | 0 | -3 | 1 | -3 | 1 | >-68 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 101< | 0 | -3 | 1 | -3 | 1 | >-68 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 101< | 0 | -3 | 1 | -3 | 1 | >-69 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 102< | 0 | -3 | 1 | -3 | 1 | >-69 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 102< | 0 | -3 | 1 | -3 | 1 | >-70 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 103< | 0 | -3 | 1 | -3 | 1 | >-70 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 103< | 0 | -3 | 1 | -3 | 1 | >-71 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 104< | 0 | -3 | 1 | -3 | 1 | >-71 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 104< | 0 | -3 | 1 | -3 | 1 | >-72 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 105< | 0 | -3 | 1 | -3 | 1 | >-72 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 105< | 0 | -3 | 1 | -3 | 1 | >-73 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 106< | 0 | -3 | 1 | -3 | 1 | >-73 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 106< | 0 | -3 | 1 | -3 | 1 | >-74 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 107< | 0 | -3 | 1 | -3 | 1 | >-74 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 107< | 0 | -3 | 1 | -3 | 1 | >-75 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 108< | 0 | -3 | 1 | -3 | 1 | >-75 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 108< | 0 | -3 | 1 | -3 | 1 | >-76 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 109< | 0 | -3 | 1 | -3 | 1 | >-76 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 109< | 0 | -3 | 1 | -3 | 1 | >-77 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 110< | 0 | -3 | 1 | -3 | 1 | >-77 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 110< | 0 | -3 | 1 | -3 | 1 | >-78 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 111< | 0 | -3 | 1 | -3 | 1 | >-78 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 111< | 0 | -3 | 1 | -3 | 1 | >-79 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 112< | 0 | -3 | 1 | -3 | 1 | >-79 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 112< | 0 | -3 | 1 | -3 | 1 | >-80 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 113< | 0 | -3 | 1 | -3 | 1 | >-80 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 113< | 0 | -3 | 1 | -3 | 1 | >-81 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 114< | 0 | -3 | 1 | -3 | 1 | >-81 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 114< | 0 | -3 | 1 | -3 | 1 | >-82 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 115< | 0 | -3 | 1 | -3 | 1 | >-82 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 115< | 0 | -3 | 1 | -3 | 1 | >-83 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 116< | 0 | -3 | 1 | -3 | 1 | >-83 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 116< | 0 | -3 | 1 | -3 | 1 | >-84 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 117< | 0 | -3 | 1 | -3 | 1 | >-84 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 117< | 0 | -3 | 1 | -3 | 1 | >-85 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 118< | 0 | -3 | 1 | -3 | 1 | >-85 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 118< | 0 | -3 | 1 | -3 | 1 | >-86 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 119< | 0 | -3 | 1 | -3 | 1 | >-86 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 119< | 0 | -3 | 1 | -3 | 1 | >-87 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 120< | 0 | -3 | 1 | -3 | 1 | >-87 | -4 | -4 | 128 ]
[ 128 | 10 | -10 | 120< | 0 | -3 | 1 | -3 | 1 | >-88 | -4 | -4 | 128 ]
