===== Starting battle of <DecoyBot> vs <RandomOscillator> with memory tape size: 12 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ 128 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 128 ]
[ 128 | >3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 128 ]
[ 128 | >4 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 128 ]
[ 128 | >5 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | -1 | 128 ]
[ 128 | >6 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -1 | 128 ]
[ 128 | >7 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | -1 | 128 ]
[ 128 | >8 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 1 | -1 | 128 ]
[ 128 | >9 | 0 | 0 | 0 | 0 | 1< | 1 | -1 | 1 | -1 | 128 ]
[ 128 | >10 | 0 | 0 | 0 | 0< | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >0 | 0 | 0 | -1< | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-1 | 0 | 0< | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-2 | 0 | -1< | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-3 | 0< | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-4 | 1< | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-5< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-6< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-6< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-7< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-9< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-10< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -11< | >1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -11< | >2 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -12< | 2 | >-1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -12< | 2 | >-2 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -13< | 2 | -2 | >-1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -13< | 2 | -2 | >0 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -14< | 2 | -2 | 0 | >1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -14< | 2 | -2 | 0 | >0 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -15< | 2 | -2 | 0 | 0 | >1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -15< | 2 | -2 | 0 | 0 | >2 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -16< | 2 | -2 | 0 | 0 | 2 | >-1 | 1 | -1 | 128 ]
[ 128 | 10 | -16< | 2 | -2 | 0 | 0 | 2 | >-2 | 1 | -1 | 128 ]
[ 128 | 10 | -17< | 2 | -2 | 0 | 0 | 2 | -2 | >1 | -1 | 128 ]
[ 128 | 10 | -17< | 2 | -2 | 0 | 0 | 2 | -2 | >1 | -1 | 128 ]
[ 128 | 10 | -18< | 2 | -2 | 0 | 0 | 2 | -2 | >0 | -1 | 128 ]
[ 128 | 10 | -18< | 2 | -2 | 0 | 0 | 2 | -2 | >0 | -1 | 128 ]
[ 128 | 10 | -19< | 2 | -2 | 0 | 0 | 2 | -2 | >0 | -1 | 128 ]
[ 128 | 10 | -19< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-1 | 128 ]
[ 128 | 10 | -20< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-1 | 128 ]
[ 128 | 10 | -20< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-2 | 128 ]
[ 128 | 10 | -21< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-2 | 128 ]
[ 128 | 10 | -21< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-3 | 128 ]
[ 128 | 10 | -22< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-3 | 128 ]
[ 128 | 10 | -22< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-4 | 128 ]
[ 128 | 10 | -23< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-4 | 128 ]
[ 128 | 10 | -23< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-5 | 128 ]
[ 128 | 10 | -24< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-5 | 128 ]
[ 128 | 10 | -24< | 2 | -2 | 0 | 0 | 2 | -2 | 0 | >-6 | 128 ]
