===== Starting battle of <DontUnderstand> vs <PatientBot> with memory tape size: 16 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 128 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0< | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 1< | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0< | 1 | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 1< | 1 | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | >1 | 1 | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | >0 | 1 | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | >-1 | 1 | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -1 | -1 | >1 | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | -1 | -1 | 1 | >-1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | -1 | -1 | 1 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | -1 | -1 | 1 | 0 | >-1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | -1 | -1 | -1 | 1 | 0 | >-2 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 1< | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 1< | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 1< | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 1< | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 1< | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 1< | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 1< | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 1< | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1< | -1 | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1< | -1 | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1< | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1< | -1 | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1< | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1< | 1 | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1< | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1< | 0 | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 0< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 1< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 2< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 3< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 4< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 5< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 6< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 7< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 8< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 9< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 10< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 11< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 12< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 13< | -2 | >1 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -1 | -1 | -1 | 1 | 14< | -2 | >1 | 128 ]
