===== Starting battle of <EvoBot2> vs <CounterPunch> with memory tape size: 11 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -127< ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -126< ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | -125< ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | -124< ]
[ 128 | 0 | 0 | 0 | >-1 | 0 | 0 | 0 | 0 | 0 | -123< ]
[ 128 | 0 | 0 | 0 | >-2 | 0 | 0 | 0 | 0 | 0 | -122< ]
[ 128 | 0 | 0 | 0 | >-3 | 0 | 0 | 0 | 0 | 0< | -122 ]
[ 128 | 0 | 0 | 0 | >-4 | 0 | 0 | 0 | 0 | -1< | -122 ]
[ 128 | 0 | 0 | >0 | -4 | 0 | 0 | 0 | 0 | -2< | -122 ]
[ 128 | 0 | 0 | >1 | -4 | 0 | 0 | 0 | 0 | -3< | -122 ]
[ 128 | 0 | 0 | >2 | -4 | 0 | 0 | 0 | 0 | -4< | -122 ]
[ 128 | 0 | 0 | >3 | -4 | 0 | 0 | 0 | 0 | -5< | -122 ]
[ 128 | 0 | 0 | >4 | -4 | 0 | 0 | 0 | 0 | -6< | -122 ]
[ 128 | 0 | 0 | >5 | -4 | 0 | 0 | 0 | 0 | -7< | -122 ]
[ 128 | 0 | 0 | >6 | -4 | 0 | 0 | 0 | 0 | -8< | -122 ]
[ 128 | 0 | >0 | 6 | -4 | 0 | 0 | 0 | 0 | -9< | -122 ]
[ 128 | 0 | >-1 | 6 | -4 | 0 | 0 | 0 | 0 | -10< | -122 ]
[ 128 | 0 | >-2 | 6 | -4 | 0 | 0 | 0 | 0 | -11< | -122 ]
[ 128 | 0 | >-3 | 6 | -4 | 0 | 0 | 0 | 0 | -12< | -122 ]
[ 128 | 0 | >-4 | 6 | -4 | 0 | 0 | 0 | 0< | -12 | -122 ]
[ 128 | 0 | >-5 | 6 | -4 | 0 | 0 | 0< | 0 | -12 | -122 ]
[ 128 | 0 | >-6 | 6 | -4 | 0 | 0< | 0 | 0 | -12 | -122 ]
[ 128 | 0 | >-7 | 6 | -4 | 0< | 0 | 0 | 0 | -12 | -122 ]
[ 128 | >0 | -7 | 6 | -4< | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | >1 | -7 | 6< | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | >2 | -7< | 6 | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | >3 | -7 | 6< | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | >4 | -7 | 5< | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | >5 | -7 | 4< | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | >6 | -7 | 3< | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | >7 | -7 | 2< | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | >8 | -7 | 1< | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | 8 | >-7 | 0< | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | 8 | -7 | >-1< | -4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | 8 | -7 | -2< | >-4 | 0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | 8 | -7 | -3< | -4 | >0 | 0 | 0 | 0 | -12 | -122 ]
[ 128 | 8 | -7 | -4< | -4 | 0 | >0 | 0 | 0 | -12 | -122 ]
[ 128 | 8 | -7 | -5< | -4 | 0 | 0 | >0 | 0 | -12 | -122 ]
[ 128 | 8 | -7 | -6< | -4 | 0 | 0 | 0 | >0 | -12 | -122 ]
[ 128 | 8 | -7 | -6 | -4< | 0 | 0 | 0 | 0 | >-12 | -122 ]
[ 128 | 8 | -7 | -6 | -3< | 0 | 0 | 0 | 0 | -12 | >-122 ]
[ 128 | 8 | -7 | -6 | -2< | 0 | 0 | 0 | 0 | -12 | >-122 ]
[ 128 | 8 | -7 | -6 | -1< | 0 | 0 | 0 | 0 | -12 | >-121 ]
[ 128 | 8 | -7 | -6 | 0< | 0 | 0 | 0 | 0 | -12 | >-120 ]
[ 128 | 8 | -7 | -6 | 1< | 0 | 0 | 0 | 0 | -12 | >-119 ]
[ 128 | 8 | -7 | -6 | 2< | 0 | 0 | 0 | 0 | -12 | >-119 ]
[ 128 | 8 | -7 | -6 | 3< | 0 | 0 | 0 | 0 | -12 | >-120 ]
[ 128 | 8 | -7 | -6 | 4< | 0 | 0 | 0 | 0 | -12 | >-120 ]
[ 128 | 8 | -7 | -6 | 5< | 0 | 0 | 0 | 0 | -12 | >-121 ]
[ 128 | 8 | -7 | -6 | 6< | 0 | 0 | 0 | 0 | -12 | >-121 ]
[ 128 | 8 | -7 | -6 | 7< | 0 | 0 | 0 | 0 | -12 | >-122 ]
[ 128 | 8 | -7 | -6 | 8< | 0 | 0 | 0 | 0 | -12 | >-122 ]
[ 128 | 8 | -7 | -6 | 8 | 0< | 0 | 0 | 0 | -12 | >-123 ]
[ 128 | 8 | -7 | -6 | 8 | -1< | 0 | 0 | 0 | -12 | >-123 ]
[ 128 | 8 | -7 | -6 | 8 | -2< | 0 | 0 | 0 | -12 | >-124 ]
[ 128 | 8 | -7 | -6 | 8 | -3< | 0 | 0 | 0 | -12 | >-124 ]
[ 128 | 8 | -7 | -6 | 8 | -4< | 0 | 0 | 0 | -12 | >-125 ]
[ 128 | 8 | -7 | -6 | 8 | -5< | 0 | 0 | 0 | -12 | >-125 ]
[ 128 | 8 | -7 | -6 | 8 | -6< | 0 | 0 | 0 | -12 | >-126 ]
[ 128 | 8 | -7 | -6 | 8 | -7< | 0 | 0 | 0 | -12 | >-126 ]
[ 128 | 8 | -7 | -6 | 8 | -8< | 0 | 0 | 0 | -12 | >-127 ]
[ 128 | 8 | -7 | -6 | 8 | -9< | 0 | 0 | 0 | -12 | >-127 ]
[ 128 | 8 | -7 | -6 | 8 | -10< | 0 | 0 | 0 | -12 | >128 ]
