===== Starting battle of <FastClearBot> vs <PatientBot> with memory tape size: 12 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 128 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0< | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | -1< | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >0 | 0< | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >1< | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | >-1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 1< | 1 | -1 | >-1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | 1 | 1 | -1 | >-1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | -1< | 1 | 1 | -1 | >0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | -1 | 1 | 1 | -1 | >1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | -1< | -1 | 1 | 1 | -1 | >2 | 0 | 128 ]
[ 128 | 0 | 0 | 0< | -1 | -1 | 1 | 1 | -1 | >2 | 0 | 128 ]
[ 128 | 0 | 0 | 1< | -1 | -1 | 1 | 1 | -1 | >1 | 0 | 128 ]
[ 128 | 0 | 0< | 1 | -1 | -1 | 1 | 1 | -1 | >1 | 0 | 128 ]
[ 128 | 0 | -1< | 1 | -1 | -1 | 1 | 1 | -1 | >0 | 0 | 128 ]
[ 128 | 0< | -1 | 1 | -1 | -1 | 1 | 1 | -1 | >0 | 0 | 128 ]
[ 128 | 1< | -1 | 1 | -1 | -1 | 1 | 1 | -1 | >0 | 0 | 128 ]
[ 128 | 1< | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | >0 | 128 ]
[ 128 | 0< | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | >0 | 128 ]
[ 128 | 0< | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >128 ]
[ 128 | 0< | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >128 ]
[ 128< | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >-127 ]
[ -127< | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >-126 ]
[ -127< | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >-125 ]
[ 128< | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >-125 ]
[ 128< | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >-126 ]
[ 127< | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >-126 ]
[ 127< | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >-127 ]
[ 127 | 0< | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >-127 ]
[ 127 | 0 | -1< | 1 | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >128 ]
[ 127 | 0 | -1 | 1< | -1 | -1 | 1 | 1 | -1 | 0 | 0 | >128 ]
[ 127 | 0 | -1 | 1 | -1< | -1 | 1 | 1 | -1 | 0 | 0 | >127 ]
[ 127 | 0 | -1 | 1 | -1 | -1< | 1 | 1 | -1 | 0 | 0 | >127 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1< | 1 | -1 | 0 | 0 | >126 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1< | -1 | 0 | 0 | >126 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1< | 0 | 0 | >125 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0< | 0 | >125 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 0< | 0 | >124 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 1< | 0 | >124 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 2< | 0 | >123 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 3< | 0 | >123 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 4< | 0 | >122 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 5< | 0 | >122 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 6< | 0 | >121 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 7< | 0 | >121 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 8< | 0 | >120 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 9< | 0 | >120 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 10< | 0 | >119 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 11< | 0 | >119 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 12< | 0 | >118 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 13< | 0 | >118 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 14< | 0 | >117 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 15< | 0 | >117 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 16< | 0 | >116 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 17< | 0 | >116 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 18< | 0 | >115 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 19< | 0 | >115 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 20< | 0 | >114 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 21< | 0 | >114 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 22< | 0 | >113 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 23< | 0 | >113 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 24< | 0 | >112 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 25< | 0 | >112 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 26< | 0 | >111 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 27< | 0 | >111 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 28< | 0 | >110 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 29< | 0 | >110 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 30< | 0 | >109 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 31< | 0 | >109 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 32< | 0 | >108 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 33< | 0 | >108 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 34< | 0 | >107 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 35< | 0 | >107 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 36< | 0 | >106 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 37< | 0 | >106 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 38< | 0 | >105 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 39< | 0 | >105 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 40< | 0 | >104 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 41< | 0 | >104 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 42< | 0 | >103 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 43< | 0 | >103 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 44< | 0 | >102 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 45< | 0 | >102 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 46< | 0 | >101 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 47< | 0 | >101 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 48< | 0 | >100 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 49< | 0 | >100 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 50< | 0 | >99 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 51< | 0 | >99 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 52< | 0 | >98 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 53< | 0 | >98 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 54< | 0 | >97 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 55< | 0 | >97 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 56< | 0 | >96 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 57< | 0 | >96 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 58< | 0 | >95 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 59< | 0 | >95 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 60< | 0 | >94 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 61< | 0 | >94 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 62< | 0 | >93 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 63< | 0 | >93 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 64< | 0 | >92 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 65< | 0 | >92 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 66< | 0 | >91 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 67< | 0 | >91 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 68< | 0 | >90 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 69< | 0 | >90 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 70< | 0 | >89 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 71< | 0 | >89 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 72< | 0 | >88 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 73< | 0 | >88 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 74< | 0 | >87 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 75< | 0 | >87 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 76< | 0 | >86 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 77< | 0 | >86 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 78< | 0 | >85 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 79< | 0 | >85 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 80< | 0 | >84 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 81< | 0 | >84 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 82< | 0 | >83 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 83< | 0 | >83 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 84< | 0 | >82 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 85< | 0 | >82 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 86< | 0 | >81 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 87< | 0 | >81 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 88< | 0 | >80 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 89< | 0 | >80 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 90< | 0 | >79 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 91< | 0 | >79 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 92< | 0 | >78 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 93< | 0 | >78 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 94< | 0 | >77 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 95< | 0 | >77 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 96< | 0 | >76 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 97< | 0 | >76 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 98< | 0 | >75 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 99< | 0 | >75 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 100< | 0 | >74 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 101< | 0 | >74 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 102< | 0 | >73 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 103< | 0 | >73 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 104< | 0 | >72 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 105< | 0 | >72 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 106< | 0 | >71 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 107< | 0 | >71 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 108< | 0 | >70 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 109< | 0 | >70 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 110< | 0 | >69 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 111< | 0 | >69 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 112< | 0 | >68 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 113< | 0 | >68 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 114< | 0 | >67 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 115< | 0 | >67 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 116< | 0 | >66 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 117< | 0 | >66 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 118< | 0 | >65 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 119< | 0 | >65 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 120< | 0 | >64 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 121< | 0 | >64 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 122< | 0 | >63 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 123< | 0 | >63 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 124< | 0 | >62 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 125< | 0 | >62 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 126< | 0 | >61 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 127< | 0 | >61 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | 128< | 0 | >60 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | -127< | 0 | >60 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | -126< | 0 | >59 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | -125< | 0 | >59 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | -124< | 0 | >58 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | -123< | 0 | >58 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | -122< | 0 | >57 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | -121< | 0 | >57 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | -120< | 0 | >56 ]
[ 127 | 0 | -1 | 1 | -1 | -1 | 1 | 1 | -1 | -119< | 0 | >56 ]
