===== Starting battle of <FastClearBot> vs <RandomOscillator> with memory tape size: 14 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 128 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | -1< | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0< | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 1< | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | >1 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | >1 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | >2 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | >3 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | >4 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -1< | -1 | 1 | >4 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | -1 | -1 | 1 | >3 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 1< | -1 | -1 | 1 | >3 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 1 | -1 | -1 | 1 | >2 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 1 | -1 | -1 | 1 | >2 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 1 | -1 | -1 | 1 | >1 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 1 | -1 | -1 | 1 | >1 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 1 | -1 | -1 | 1 | >0 | -1 | 1 | -1 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 1 | -1 | -1 | 1 | >0 | -1 | 1 | -1 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 1 | -1 | -1 | 1 | >0 | -1 | 1 | -1 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >-1 | 1 | -1 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >-1 | 1 | -1 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >0 | 1 | -1 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >1 | 1 | -1 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >2 | 1 | -1 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >2 | 1 | -1 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >1 | 1 | -1 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >1 | 1 | -1 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >0 | 1 | -1 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >0 | 1 | -1 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | >0 | 1 | -1 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >1 | -1 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >1 | -1 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >2 | -1 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >3 | -1 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >4 | -1 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >4 | -1 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >3 | -1 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >3 | -1 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >2 | -1 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >2 | -1 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >1 | -1 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >1 | -1 | 128 ]
[ 119< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >0 | -1 | 128 ]
[ 119< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >0 | -1 | 128 ]
[ 118< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | >0 | -1 | 128 ]
[ 118< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >-1 | 128 ]
[ 117< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >-1 | 128 ]
[ 117< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >0 | 128 ]
[ 116< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >1 | 128 ]
[ 116< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >2 | 128 ]
[ 115< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >2 | 128 ]
[ 115< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >1 | 128 ]
[ 114< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >1 | 128 ]
[ 114< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >0 | 128 ]
[ 113< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >0 | 128 ]
[ 113< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >0 | 128 ]
[ 112< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >128 ]
[ 112< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >128 ]
[ 111< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-127 ]
[ 111< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-126 ]
[ 110< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-125 ]
[ 110< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-125 ]
[ 109< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-126 ]
[ 109< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-126 ]
[ 108< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-127 ]
[ 108< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-127 ]
[ 107< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >128 ]
[ 107< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >128 ]
[ 106< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >127 ]
[ 106< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >127 ]
[ 105< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >126 ]
[ 105< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >126 ]
[ 104< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >125 ]
[ 104< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >125 ]
[ 103< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >124 ]
[ 103< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >124 ]
[ 102< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >123 ]
[ 102< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >123 ]
[ 101< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >122 ]
[ 101< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >122 ]
[ 100< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >121 ]
[ 100< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >121 ]
[ 99< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >120 ]
[ 99< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >120 ]
[ 98< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >119 ]
[ 98< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >119 ]
[ 97< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >118 ]
