===== Starting battle of <FastTrapClearBot> vs <SternBot> with memory tape size: 16 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 127 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ 127 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 128 ]
[ 127 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 128 ]
[ 127 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 128 ]
[ 127 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0< | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | >-1 | 0 | 0 | 0< | 0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | -1< | 0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | >-1 | 0< | -1 | 0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | >1< | -1 | 0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1< | >0 | -1 | 0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1< | -1 | 0 | >-1 | 0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1< | -1 | 0 | >-2 | 0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | 0< | -1 | 0 | -2 | >0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | 0< | -1 | 0 | -2 | >1 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1< | 0 | -1 | 0 | -2 | >1 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -1< | 0 | -1 | 0 | -2 | >0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -2< | 0 | -1 | 0 | -2 | >0 | 1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -2< | 0 | -1 | 0 | -2 | 0 | >1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -3< | 0 | -1 | 0 | -2 | 0 | >2 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -3< | 0 | -1 | 0 | -2 | 0 | >2 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -4< | 0 | -1 | 0 | -2 | 0 | >1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -4< | 0 | -1 | 0 | -2 | 0 | >1 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -5< | 0 | -1 | 0 | -2 | 0 | >0 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -5< | 0 | -1 | 0 | -2 | 0 | >0 | -1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -6< | 0 | -1 | 0 | -2 | 0 | 0 | >-1 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -6< | 0 | -1 | 0 | -2 | 0 | 0 | >0 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -7< | 0 | -1 | 0 | -2 | 0 | 0 | >0 | 0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -7< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | >0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -8< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | >1 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -8< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | >1 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -9< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | >0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -9< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | >0 | 1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -10< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | >1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -10< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | >2 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -11< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | >2 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -11< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | >1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -12< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | >1 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -12< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | >0 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -13< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | >0 | -1 | 128 ]
[ 127 | -1 | -1 | -1 | -13< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | >-1 | 128 ]
[ 127 | -1 | -1 | -1 | -14< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | >0 | 128 ]
[ 127 | -1 | -1 | -1 | -14< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | >0 | 128 ]
[ 127 | -1 | -1 | -1 | -15< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >128 ]
[ 127 | -1 | -1 | -1 | -15< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >-127 ]
[ 127 | -1 | -1 | -1 | -16< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >-127 ]
[ 127 | -1 | -1 | -1 | -16< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >128 ]
[ 127 | -1 | -1 | -1 | -17< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >128 ]
[ 127 | -1 | -1 | -1 | -17< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >127 ]
[ 127 | -1 | -1 | -1 | -18< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >127 ]
[ 127 | -1 | -1 | -1 | -18< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >126 ]
[ 127 | -1 | -1 | -1 | -19< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >126 ]
[ 127 | -1 | -1 | -1 | -19< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >125 ]
[ 127 | -1 | -1 | -1 | -20< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >125 ]
[ 127 | -1 | -1 | -1 | -20< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >124 ]
[ 127 | -1 | -1 | -1 | -21< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >124 ]
[ 127 | -1 | -1 | -1 | -21< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >123 ]
[ 127 | -1 | -1 | -1 | -22< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >123 ]
[ 127 | -1 | -1 | -1 | -22< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >122 ]
[ 127 | -1 | -1 | -1 | -23< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >122 ]
[ 127 | -1 | -1 | -1 | -23< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >121 ]
[ 127 | -1 | -1 | -1 | -24< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >121 ]
[ 127 | -1 | -1 | -1 | -24< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >120 ]
[ 127 | -1 | -1 | -1 | -25< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >120 ]
[ 127 | -1 | -1 | -1 | -25< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >119 ]
[ 127 | -1 | -1 | -1 | -26< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >119 ]
[ 127 | -1 | -1 | -1 | -26< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >118 ]
[ 127 | -1 | -1 | -1 | -27< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >118 ]
[ 127 | -1 | -1 | -1 | -27< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >117 ]
[ 127 | -1 | -1 | -1 | -28< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >117 ]
[ 127 | -1 | -1 | -1 | -28< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >116 ]
[ 127 | -1 | -1 | -1 | -29< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >116 ]
[ 127 | -1 | -1 | -1 | -29< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >115 ]
[ 127 | -1 | -1 | -1 | -30< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >115 ]
[ 127 | -1 | -1 | -1 | -30< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >114 ]
[ 127 | -1 | -1 | -1 | -31< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >114 ]
[ 127 | -1 | -1 | -1 | -31< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >113 ]
[ 127 | -1 | -1 | -1 | -32< | 0 | -1 | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | >113 ]
