===== Starting battle of <FastTrapClearBot> vs <TheWallmaster> with memory tape size: 11 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -127< ]
[ 127 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -127 ]
[ 127 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | -127 ]
[ 127 | -1 | >0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | -127 ]
[ 127 | -1 | >-1 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | -127 ]
[ 127 | -1 | -1 | >0 | 0 | 0< | 0 | 0 | 0 | 0 | -127 ]
[ 127 | -1 | -1 | >-1 | 0< | 0 | 0 | 0 | 0 | 0 | -127 ]
[ 127 | -1 | -1 | -1< | >0 | 0 | 0 | 0 | 0 | 0 | -127 ]
[ 127 | -1 | -1< | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | -127 ]
[ 127 | -1< | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | -127 ]
[ 127 | -1< | -1 | -1 | -1 | >-1 | 0 | 0 | 0 | 0 | -127 ]
[ 127 | 0< | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | -127 ]
[ 127 | 0< | -1 | -1 | -1 | -1 | >-1 | 0 | 0 | 0 | -127 ]
[ 127 | 1< | -1 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | -127 ]
[ 127 | 2< | -1 | -1 | -1 | -1 | -1 | >-1 | 0 | 0 | -127 ]
[ 127 | 3< | -1 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | -127 ]
[ 127 | 4< | -1 | -1 | -1 | -1 | -1 | -1 | >-1 | 0 | -127 ]
[ 127 | 5< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | -127 ]
[ 127 | 6< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >1 | -127 ]
[ 127 | 7< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >1 | -127 ]
[ 127 | 8< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | -127 ]
[ 127 | 9< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | -127 ]
[ 127 | 10< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >-127 ]
[ 127 | 11< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >-126 ]
[ 127 | 12< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >-126 ]
[ 127 | 13< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >-127 ]
[ 127 | 14< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >-127 ]
[ 127 | 15< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >128 ]
[ 127 | 16< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >128 ]
[ 127 | 17< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >127 ]
[ 127 | 18< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >127 ]
[ 127 | 19< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >126 ]
[ 127 | 20< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >126 ]
[ 127 | 21< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >125 ]
[ 127 | 22< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >125 ]
[ 127 | 23< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >124 ]
[ 127 | 24< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >124 ]
[ 127 | 25< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >123 ]
[ 127 | 26< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >123 ]
[ 127 | 27< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >122 ]
[ 127 | 28< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >122 ]
[ 127 | 29< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >121 ]
[ 127 | 30< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >121 ]
[ 127 | 31< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >120 ]
[ 127 | 32< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >120 ]
[ 127 | 33< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >119 ]
[ 127 | 34< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >119 ]
[ 127 | 35< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >118 ]
[ 127 | 36< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >118 ]
[ 127 | 37< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >117 ]
[ 127 | 38< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >117 ]
[ 127 | 39< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >116 ]
[ 127 | 40< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >116 ]
[ 127 | 41< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >115 ]
[ 127 | 42< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >115 ]
[ 127 | 43< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >114 ]
[ 127 | 44< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >114 ]
[ 127 | 45< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >113 ]
[ 127 | 46< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >113 ]
[ 127 | 47< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >112 ]
[ 127 | 48< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >112 ]
[ 127 | 49< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >111 ]
[ 127 | 50< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >111 ]
[ 127 | 51< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >110 ]
[ 127 | 52< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >110 ]
[ 127 | 53< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >109 ]
[ 127 | 54< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >109 ]
[ 127 | 55< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >108 ]
[ 127 | 56< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >108 ]
[ 127 | 57< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >107 ]
[ 127 | 58< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >107 ]
[ 127 | 59< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >106 ]
[ 127 | 60< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >106 ]
[ 127 | 61< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >105 ]
[ 127 | 62< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >105 ]
[ 127 | 63< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >104 ]
[ 127 | 64< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >104 ]
[ 127 | 65< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >103 ]
[ 127 | 66< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >103 ]
[ 127 | 67< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >102 ]
[ 127 | 68< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >102 ]
[ 127 | 69< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >101 ]
[ 127 | 70< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >101 ]
[ 127 | 71< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >100 ]
[ 127 | 72< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >100 ]
[ 127 | 73< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >99 ]
[ 127 | 74< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >99 ]
[ 127 | 75< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >98 ]
[ 127 | 76< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >98 ]
[ 127 | 77< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >97 ]
[ 127 | 78< | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >97 ]
[ 127 | 78 | -1< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >96 ]
[ 127 | 78 | -1< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >96 ]
[ 127 | 78 | -2< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >95 ]
[ 127 | 78 | -2< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >95 ]
[ 127 | 78 | -3< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >94 ]
[ 127 | 78 | -3< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >94 ]
[ 127 | 78 | -4< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >93 ]
[ 127 | 78 | -4< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >93 ]
[ 127 | 78 | -5< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >92 ]
[ 127 | 78 | -5< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >92 ]
[ 127 | 78 | -6< | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >91 ]
