===== Starting battle of <LightfootPlodder> vs <BurlyBalderV2> with memory tape size: 10 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ 128 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | 128 ]
[ 128 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | 128 ]
[ 128 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | 128 ]
[ 128 | -4 | >0 | 0 | 0 | 0 | 0 | 0 | -5< | 128 ]
[ 128 | -4 | >-1 | 0 | 0 | 0 | 0 | 0 | -6< | 128 ]
[ 128 | -4 | >-2 | 0 | 0 | 0 | 0 | 0 | -7< | 128 ]
[ 128 | -4 | >-3 | 0 | 0 | 0 | 0 | 0 | -8< | 128 ]
[ 128 | -4 | >-4 | 0 | 0 | 0 | 0 | 0 | -9< | 128 ]
[ 128 | -4 | >-5 | 0 | 0 | 0 | 0 | 0 | -10< | 128 ]
[ 128 | -4 | >-6 | 0 | 0 | 0 | 0 | 0 | -11< | 128 ]
[ 128 | -4 | >-7 | 0 | 0 | 0 | 0 | 0 | -12< | 128 ]
[ 128 | -4 | -7 | >0 | 0 | 0 | 0 | 0 | -13< | 128 ]
[ 128 | -4 | -7 | >-1 | 0 | 0 | 0 | 0 | -14< | 128 ]
[ 128 | -4 | -7 | >-2 | 0 | 0 | 0 | 0 | -15< | 128 ]
[ 128 | -4 | -7 | >-3 | 0 | 0 | 0 | 0 | -16< | 128 ]
[ 128 | -4 | -7 | >-4 | 0 | 0 | 0 | 0 | -17< | 128 ]
[ 128 | -4 | -7 | -4 | >0 | 0 | 0 | 0< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | >1 | 0 | 0 | -1< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | >2 | 0 | 0 | -2< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | >3 | 0 | 0 | -3< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | >4 | 0 | 0 | -4< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | >5 | 0 | 0 | -5< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | >6 | 0 | 0 | -6< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | >7 | 0 | 0 | -7< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >0 | 0 | -8< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-1 | 0 | -9< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-2 | 0 | -10< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-3 | 0 | -11< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-4 | 0 | -12< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-5 | 0 | -13< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-6 | 0 | -14< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-7 | 0 | -15< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-8 | 0 | -16< | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-9 | 0 | -17< | -17 | 128 ]
