===== Starting battle of <MetaJSRandomBot> vs <LightfootPlodder> with memory tape size: 11 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >-127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ >-127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ >-127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | 128 ]
[ -127 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | 128 ]
[ -127 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | 128 ]
[ -127 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | 128 ]
[ -127 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -4 | 128 ]
[ -127 | -2 | >0 | 0 | 0 | 0 | 0 | 0 | -2< | -4 | 128 ]
[ -127 | -2 | >1 | 0 | 0 | 0 | 0 | 0 | -3< | -4 | 128 ]
[ -127 | -2 | >1 | 0 | 0 | 0 | 0 | 0 | -4< | -4 | 128 ]
[ -127 | -2 | >0 | 0 | 0 | 0 | 0 | 0< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | >0 | 0 | 0 | 0 | -1< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | >1 | 0 | 0 | 0 | -2< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | >1 | 0 | 0 | 0 | -3< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | >0 | 0 | 0 | 0 | -4< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | >0 | 0 | 0< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | >1 | 0 | 1< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | >1 | 0 | 2< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | >0 | 0 | 3< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >0 | 4< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >1< | 4 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >2< | 4 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >2< | 4 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 3< | >4 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 4< | >5 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0< | 4 | >5 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 1< | 4 | >4 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 1< | 4 | 4 | >-4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0< | 4 | 4 | >-3 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0< | 4 | 4 | >-3 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | -1< | 4 | 4 | >-4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0< | -1 | 4 | 4 | -4 | >-4 | -4 | 128 ]
[ -127 | -2 | 0 | 1< | -1 | 4 | 4 | -4 | >-3 | -4 | 128 ]
[ -127 | -2 | 0 | 1< | -1 | 4 | 4 | -4 | >-3 | -4 | 128 ]
[ -127 | -2 | 0 | 0< | -1 | 4 | 4 | -4 | >-4 | -4 | 128 ]
[ -127 | -2 | 0 | 0< | -1 | 4 | 4 | -4 | -4 | >-4 | 128 ]
[ -127 | -2 | 0 | -1< | -1 | 4 | 4 | -4 | -4 | >-3 | 128 ]
[ -127 | -2 | 0 | -1 | -1< | 4 | 4 | -4 | -4 | >-3 | 128 ]
[ -127 | -2 | 0 | -1 | -1< | 4 | 4 | -4 | -4 | >-4 | 128 ]
[ -127 | -2 | 0 | -1< | -1 | 4 | 4 | -4 | -4 | -4 | >128 ]
[ -127 | -2 | 0< | -1 | -1 | 4 | 4 | -4 | -4 | -4 | >-127 ]
[ -127 | -2 | 0< | -1 | -1 | 4 | 4 | -4 | -4 | -4 | >-127 ]
[ -127 | -2 | -1< | -1 | -1 | 4 | 4 | -4 | -4 | -4 | >128 ]
[ >-127 | -2 | -1 | -1< | -1 | 4 | 4 | -4 | -4 | -4 | 128 ]

===== LightfootPlodder won the battle after 44 cycles =====



===== Starting battle of <MetaJSRandomBot> vs <LightfootPlodder> with memory tape size: 22 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >-127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ >-127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ >-127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | 128 ]
[ -127 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | 128 ]
[ -127 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | 128 ]
[ -127 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | 128 ]
[ -127 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -4 | 128 ]
[ -127 | -2 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | -4 | 128 ]
[ -127 | -2 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | -4 | 128 ]
[ -127 | -2 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | -4 | 128 ]
[ -127 | -2 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 4 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 4 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | 4 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3< | 4 | -4 | -4 | -4 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 4 | -4 | -4 | -4 | 128 ]
