===== Starting battle of <NestDarwin> vs <DecoyMaster> with memory tape size: 10 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ >126 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ >125 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ >124 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ >123 | 0 | 0 | 0 | 0 | 1< | 0 | 0 | 0 | 128 ]
[ 123 | >0 | 0 | 0 | 0 | 2< | 0 | 0 | 0 | 128 ]
[ 123 | >0 | 0 | 0 | 0 | 3< | 0 | 0 | 0 | 128 ]
[ 123 | >-1 | 0 | 0 | 0 | 4< | 0 | 0 | 0 | 128 ]
[ 123 | >-2 | 0 | 0 | 0 | 5< | 0 | 0 | 0 | 128 ]
[ 123 | >-3 | 0 | 0 | 0 | 6< | 0 | 0 | 0 | 128 ]
[ 123 | >-4 | 0 | 0 | 0 | 7< | 0 | 0 | 0 | 128 ]
[ 123 | >-5 | 0 | 0 | 0 | 8< | 0 | 0 | 0 | 128 ]
[ 123 | >-6 | 0 | 0 | 0 | 9< | 0 | 0 | 0 | 128 ]
[ 123 | >-7 | 0 | 0 | 0 | 10< | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >0 | 0 | 0 | 10 | 0< | 0 | 0 | 128 ]
[ 123 | -7 | >0 | 0 | 0 | 10 | -1< | 0 | 0 | 128 ]
[ 123 | -7 | >-1 | 0 | 0 | 10 | -2< | 0 | 0 | 128 ]
[ 123 | -7 | >-2 | 0 | 0 | 10 | -3< | 0 | 0 | 128 ]
[ 123 | -7 | >-3 | 0 | 0 | 10 | -4< | 0 | 0 | 128 ]
[ 123 | -7 | >-4 | 0 | 0 | 10 | -5< | 0 | 0 | 128 ]
[ 123 | -7 | >-5 | 0 | 0 | 10 | -6< | 0 | 0 | 128 ]
[ 123 | -7 | >-6 | 0 | 0 | 10 | -7< | 0 | 0 | 128 ]
[ 123 | -7 | >-7 | 0 | 0 | 10 | -8< | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >0 | 0 | 10 | -9< | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >0 | 0 | 10 | -10< | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >-1 | 0 | 10 | -10 | 0< | 0 | 128 ]
[ 123 | -7 | -7 | >-2 | 0 | 10 | -10 | 1< | 0 | 128 ]
[ 123 | -7 | -7 | >-3 | 0 | 10 | -10 | 2< | 0 | 128 ]
[ 123 | -7 | -7 | >-4 | 0 | 10 | -10 | 3< | 0 | 128 ]
[ 123 | -7 | -7 | >-5 | 0 | 10 | -10 | 4< | 0 | 128 ]
[ 123 | -7 | -7 | >-6 | 0 | 10 | -10 | 5< | 0 | 128 ]
[ 123 | -7 | -7 | >-7 | 0 | 10 | -10 | 6< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | >0 | 10 | -10 | 7< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | >0 | 10 | -10 | 8< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | >-1 | 10 | -10 | 9< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | >-2 | 10 | -10 | 10< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >10 | -10 | 11< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >10 | -10 | 12< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >9 | -10 | 13< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >8 | -10 | 14< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >7 | -10 | 15< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >6 | -10 | 16< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >5 | -10 | 17< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >4 | -10 | 18< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >3 | -10 | 19< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >2 | -10 | 20< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >2 | -10 | 21< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >2 | -10 | 22< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >3 | -10 | 23< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >3 | -10 | 24< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >3 | -10 | 25< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >4 | -10 | 26< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >4 | -10 | 27< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >4 | -10 | 28< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >5 | -10 | 29< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >5 | -10 | 30< | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >5 | -10 | 30 | 0< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >6 | -10 | 30 | -1< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >6 | -10 | 30 | -2< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >6 | -10 | 30 | -3< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >7 | -10 | 30 | -4< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >7 | -10 | 30 | -5< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >7 | -10 | 30 | -6< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >8 | -10 | 30 | -7< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >8 | -10 | 30 | -8< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >8 | -10 | 30 | -9< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >9 | -10 | 30 | -10< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >9 | -10 | 30 | -11< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >9 | -10 | 30 | -12< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >10 | -10 | 30 | -13< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >10 | -10 | 30 | -14< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >10 | -10 | 30 | -15< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >11 | -10 | 30 | -16< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >11 | -10 | 30 | -17< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >11 | -10 | 30 | -18< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >12 | -10 | 30 | -19< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >12 | -10 | 30 | -20< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >12 | -10 | 30 | -21< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >13 | -10 | 30 | -22< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >13 | -10 | 30 | -23< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >13 | -10 | 30 | -24< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >14 | -10 | 30 | -25< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >14 | -10 | 30 | -26< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >14 | -10 | 30 | -27< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >15 | -10 | 30 | -28< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >15 | -10 | 30 | -29< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >15 | -10 | 30 | -30< | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >16 | -10 | 30< | -30 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >16 | -10< | 30 | -30 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >16< | -10 | 30 | -30 | 128 ]
[ 123 | -7 | -7 | -7 | -2< | >17 | -10 | 30 | -30 | 128 ]
[ 123 | -7 | -7 | -7 | -1< | >17 | -10 | 30 | -30 | 128 ]
[ 123 | -7 | -7 | -7< | -1 | >17 | -10 | 30 | -30 | 128 ]
[ 123 | -7 | -7 | -6< | -1 | >18 | -10 | 30 | -30 | 128 ]
[ 123 | -7 | -7< | -6 | -1 | >18 | -10 | 30 | -30 | 128 ]
[ 123 | -7 | -8< | -6 | -1 | >18 | -10 | 30 | -30 | 128 ]
[ 123 | -7< | -8 | -6 | -1 | >19 | -10 | 30 | -30 | 128 ]
[ 123 | -8< | -8 | -6 | -1 | >19 | -10 | 30 | -30 | 128 ]
[ 123< | -8 | -8 | -6 | -1 | >19 | -10 | 30 | -30 | 128 ]
[ 123< | -8 | -8 | -6 | -1 | >20 | -10 | 30 | -30 | 128 ]
[ 122< | -8 | -8 | -6 | -1 | >20 | -10 | 30 | -30 | 128 ]
[ 122< | -8 | -8 | -6 | -1 | >20 | -10 | 30 | -30 | 128 ]
[ 123< | -8 | -8 | -6 | -1 | >21 | -10 | 30 | -30 | 128 ]
[ 124< | -8 | -8 | -6 | -1 | >21 | -10 | 30 | -30 | 128 ]
[ 124< | -8 | -8 | -6 | -1 | >21 | -10 | 30 | -30 | 128 ]
[ 125< | -8 | -8 | -6 | -1 | >22 | -10 | 30 | -30 | 128 ]
[ 126< | -8 | -8 | -6 | -1 | >22 | -10 | 30 | -30 | 128 ]
[ 127< | -8 | -8 | -6 | -1 | >22 | -10 | 30 | -30 | 128 ]
[ 128< | -8 | -8 | -6 | -1 | >23 | -10 | 30 | -30 | 128 ]
[ -127< | -8 | -8 | -6 | -1 | >23 | -10 | 30 | -30 | 128 ]
[ -126< | -8 | -8 | -6 | -1 | >23 | -10 | 30 | -30 | 128 ]
[ -125< | -8 | -8 | -6 | -1 | >24 | -10 | 30 | -30 | 128 ]
[ -124< | -8 | -8 | -6 | -1 | >24 | -10 | 30 | -30 | 128 ]
[ -123< | -8 | -8 | -6 | -1 | >24 | -10 | 30 | -30 | 128 ]
[ -122< | -8 | -8 | -6 | -1 | >25 | -10 | 30 | -30 | 128 ]
[ -122< | -8 | -8 | -6 | -1 | >25 | -10 | 30 | -30 | 128 ]
