===== Starting battle of <Plodder> vs <Bigger> with memory tape size: 12 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -127< ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -127 ]
[ 128 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -127 ]
[ 128 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | -127 ]
[ 128 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | -127 ]
[ 128 | -4 | >0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | -127 ]
[ 128 | -4 | >-1 | 0 | 0 | 0 | 0 | 0 | 1< | 1 | -1 | -127 ]
[ 128 | -4 | >-2 | 0 | 0 | 0 | 0 | 0< | 1 | 1 | -1 | -127 ]
[ 128 | -4 | >-3 | 0 | 0 | 0 | 0 | -1< | 1 | 1 | -1 | -127 ]
[ 128 | -4 | >-4 | 0 | 0 | 0 | 0< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | >0 | 0 | 0 | -1< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | >1 | 0 | 0 | -2< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | >2 | 0 | 0 | -3< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | >3 | 0 | 0 | -4< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | >4 | 0 | 0 | -5< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | >5 | 0 | 0 | -6< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | >6 | 0 | 0 | -7< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | >7 | 0 | 0 | -8< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >0 | 0 | -9< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-1 | 0 | -10< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-2 | 0 | -11< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-3 | 0 | -12< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-4 | 0 | -13< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-5 | 0 | -14< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-6 | 0 | -15< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-7 | 0 | -16< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-8 | 0 | -17< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-9 | 0 | -18< | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-10 | 0< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-11 | 1< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-12 | 2< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-13 | 3< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-14 | 4< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-15 | 5< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-16 | 6< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | >-17 | 7< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | >8< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | >10< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | >12< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | >14< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | >16< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | >18< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | >20< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | >22< | -18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | 23< | >-18 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | 24< | >-19 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17 | 25< | >-20 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -17< | 25 | >-21 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -18< | 25 | >-22 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -19< | 25 | >-23 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -20< | 25 | >-24 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -21< | 25 | >-25 | -1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -22< | 25 | -25 | >-1 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -23< | 25 | -25 | >-2 | 1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -24< | 25 | -25 | -2 | >1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -25< | 25 | -25 | -2 | >0 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -26< | 25 | -25 | -2 | >0 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -27< | 25 | -25 | -2 | >1 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -28< | 25 | -25 | -2 | >2 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -29< | 25 | -25 | -2 | >3 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -30< | 25 | -25 | -2 | >4 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -31< | 25 | -25 | -2 | >5 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -32< | 25 | -25 | -2 | >6 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -33< | 25 | -25 | -2 | >7 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -34< | 25 | -25 | -2 | >8 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7 | -35< | 25 | -25 | -2 | >9 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 7< | -35 | 25 | -25 | -2 | >10 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 8< | -35 | 25 | -25 | -2 | >11 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 9< | -35 | 25 | -25 | -2 | >12 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 10< | -35 | 25 | -25 | -2 | >13 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 11< | -35 | 25 | -25 | -2 | >14 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 12< | -35 | 25 | -25 | -2 | >15 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 13< | -35 | 25 | -25 | -2 | >16 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 14< | -35 | 25 | -25 | -2 | >17 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 15< | -35 | 25 | -25 | -2 | >18 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 16< | -35 | 25 | -25 | -2 | >19 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 17< | -35 | 25 | -25 | -2 | >20 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 18< | -35 | 25 | -25 | -2 | >21 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 19< | -35 | 25 | -25 | -2 | >22 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 20< | -35 | 25 | -25 | -2 | >23 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 21< | -35 | 25 | -25 | -2 | >24 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 22< | -35 | 25 | -25 | -2 | >25 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 23< | -35 | 25 | -25 | -2 | >26 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 24< | -35 | 25 | -25 | -2 | >27 | 1 | -1 | -127 ]
[ 128 | -4 | -4 | 25< | -35 | 25 | -25 | -2 | >28 | 1 | -1 | -127 ]
[ 128 | -4 | -4< | 25 | -35 | 25 | -25 | -2 | >29 | 1 | -1 | -127 ]
[ 128 | -4 | -4< | 25 | -35 | 25 | -25 | -2 | >30 | 1 | -1 | -127 ]
[ 128 | -4 | -3< | 25 | -35 | 25 | -25 | -2 | >31 | 1 | -1 | -127 ]
[ 128 | -4 | -2< | 25 | -35 | 25 | -25 | -2 | >32 | 1 | -1 | -127 ]
[ 128 | -4 | -1< | 25 | -35 | 25 | -25 | -2 | >33 | 1 | -1 | -127 ]
[ 128 | -4 | 0< | 25 | -35 | 25 | -25 | -2 | >34 | 1 | -1 | -127 ]
[ 128 | -4 | 1< | 25 | -35 | 25 | -25 | -2 | >35 | 1 | -1 | -127 ]
[ 128 | -4 | 2< | 25 | -35 | 25 | -25 | -2 | >36 | 1 | -1 | -127 ]
[ 128 | -4 | 3< | 25 | -35 | 25 | -25 | -2 | >37 | 1 | -1 | -127 ]
[ 128 | -4 | 4< | 25 | -35 | 25 | -25 | -2 | >38 | 1 | -1 | -127 ]
[ 128 | -4 | 5< | 25 | -35 | 25 | -25 | -2 | >39 | 1 | -1 | -127 ]
[ 128 | -4 | 6< | 25 | -35 | 25 | -25 | -2 | >40 | 1 | -1 | -127 ]
[ 128 | -4 | 7< | 25 | -35 | 25 | -25 | -2 | >41 | 1 | -1 | -127 ]
[ 128 | -4 | 8< | 25 | -35 | 25 | -25 | -2 | >42 | 1 | -1 | -127 ]
[ 128 | -4 | 9< | 25 | -35 | 25 | -25 | -2 | >43 | 1 | -1 | -127 ]
[ 128 | -4 | 10< | 25 | -35 | 25 | -25 | -2 | >44 | 1 | -1 | -127 ]
[ 128 | -4 | 11< | 25 | -35 | 25 | -25 | -2 | >45 | 1 | -1 | -127 ]
[ 128 | -4 | 12< | 25 | -35 | 25 | -25 | -2 | >46 | 1 | -1 | -127 ]
[ 128 | -4 | 13< | 25 | -35 | 25 | -25 | -2 | >47 | 1 | -1 | -127 ]
[ 128 | -4 | 14< | 25 | -35 | 25 | -25 | -2 | >48 | 1 | -1 | -127 ]
[ 128 | -4 | 14< | 25 | -35 | 25 | -25 | -2 | >49 | 1 | -1 | -127 ]
[ 128 | -4 | 13< | 25 | -35 | 25 | -25 | -2 | >50 | 1 | -1 | -127 ]
[ 128 | -4 | 13< | 25 | -35 | 25 | -25 | -2 | >51 | 1 | -1 | -127 ]
[ 128 | -4 | 12< | 25 | -35 | 25 | -25 | -2 | >52 | 1 | -1 | -127 ]
[ 128 | -4 | 12< | 25 | -35 | 25 | -25 | -2 | >53 | 1 | -1 | -127 ]
[ 128 | -4 | 11< | 25 | -35 | 25 | -25 | -2 | >54 | 1 | -1 | -127 ]
[ 128 | -4 | 11< | 25 | -35 | 25 | -25 | -2 | >55 | 1 | -1 | -127 ]
[ 128 | -4 | 10< | 25 | -35 | 25 | -25 | -2 | >56 | 1 | -1 | -127 ]
[ 128 | -4 | 10< | 25 | -35 | 25 | -25 | -2 | >57 | 1 | -1 | -127 ]
[ 128 | -4 | 9< | 25 | -35 | 25 | -25 | -2 | >58 | 1 | -1 | -127 ]
[ 128 | -4 | 9< | 25 | -35 | 25 | -25 | -2 | >59 | 1 | -1 | -127 ]
[ 128 | -4 | 8< | 25 | -35 | 25 | -25 | -2 | >60 | 1 | -1 | -127 ]
[ 128 | -4 | 8< | 25 | -35 | 25 | -25 | -2 | >61 | 1 | -1 | -127 ]
[ 128 | -4 | 7< | 25 | -35 | 25 | -25 | -2 | >62 | 1 | -1 | -127 ]
[ 128 | -4 | 7< | 25 | -35 | 25 | -25 | -2 | >63 | 1 | -1 | -127 ]
[ 128 | -4 | 6< | 25 | -35 | 25 | -25 | -2 | >64 | 1 | -1 | -127 ]
[ 128 | -4 | 6< | 25 | -35 | 25 | -25 | -2 | >65 | 1 | -1 | -127 ]
[ 128 | -4 | 5< | 25 | -35 | 25 | -25 | -2 | >66 | 1 | -1 | -127 ]
[ 128 | -4 | 5< | 25 | -35 | 25 | -25 | -2 | >67 | 1 | -1 | -127 ]
