===== Starting battle of <Plodder> vs <TruthBot> with memory tape size: 13 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 128 ]
[ 128 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | 128 ]
[ 128 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 2 | 128 ]
[ 128 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 2 | 128 ]
[ 128 | -4 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | 2 | 128 ]
[ 128 | -4 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | 2 | 128 ]
[ 128 | -4 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | 2 | 128 ]
[ 128 | -4 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | 2 | 128 ]
[ 128 | -4 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 2 | 128 ]
[ 128 | -4 | -4 | >0 | 0 | 0 | 0 | 0 | 0 | 2< | -4 | 2 | 128 ]
[ 128 | -4 | -4 | >1 | 0 | 0 | 0 | 0 | 0< | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | >2 | 0 | 0 | 0 | 0 | -1< | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | >3 | 0 | 0 | 0 | 0 | -2< | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | >4 | 0 | 0 | 0 | 0 | -3< | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | >5 | 0 | 0 | 0 | 0 | -4< | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | >6 | 0 | 0 | 0 | 0< | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | >7 | 0 | 0 | 0 | 1< | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >0 | 0 | 0 | 2< | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-1 | 0 | 0< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-2 | 0 | -1< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-3 | 0 | -2< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-4 | 0 | -3< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-5 | 0 | -4< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-6 | 0< | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-7 | 1< | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-8 | 2< | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-9< | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-11< | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-13< | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-15< | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7 | >-17< | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 7< | >-18 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 6< | >-19 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 5< | >-20 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 4< | >-21 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4 | 3< | -21 | >2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -4< | 3 | -21 | >3 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -3< | 3 | -21 | >4 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -2< | 3 | -21 | >5 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | -1< | 3 | -21 | >6 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | 0< | 3 | -21 | >7 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4 | 0< | 3 | -21 | >8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -4< | 0 | 3 | -21 | >9 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -3< | 0 | 3 | -21 | 9 | >-4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -2< | 0 | 3 | -21 | 9 | >-5 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1< | 0 | 3 | -21 | 9 | >-6 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 0< | 0 | 3 | -21 | 9 | >-7 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 0< | 0 | 3 | -21 | 9 | >-8 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 3 | -21 | 9 | >-9 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 3 | -21 | 9 | >-10 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 3 | -21 | 9 | >-11 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 3 | -21 | 9 | -11 | >2 | -4 | 2 | -4 | 2 | 128 ]
[ -124< | 0 | 0 | 3 | -21 | 9 | -11 | >1 | -4 | 2 | -4 | 2 | 128 ]
[ -124< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >-4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >-5 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >-5 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >-4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >-3 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >-2 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >-1 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >0 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >1 | 2 | -4 | 2 | 128 ]
[ 127< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >2 | 2 | -4 | 2 | 128 ]
[ 127< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >3 | 2 | -4 | 2 | 128 ]
[ 126< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >4 | 2 | -4 | 2 | 128 ]
[ 126< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >5 | 2 | -4 | 2 | 128 ]
[ 125< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >6 | 2 | -4 | 2 | 128 ]
[ 125< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >7 | 2 | -4 | 2 | 128 ]
[ 124< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >8 | 2 | -4 | 2 | 128 ]
[ 124< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >9 | 2 | -4 | 2 | 128 ]
[ 123< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >10 | 2 | -4 | 2 | 128 ]
[ 123< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >11 | 2 | -4 | 2 | 128 ]
[ 122< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >12 | 2 | -4 | 2 | 128 ]
[ 122< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >13 | 2 | -4 | 2 | 128 ]
[ 121< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >14 | 2 | -4 | 2 | 128 ]
[ 121< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >15 | 2 | -4 | 2 | 128 ]
[ 120< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >16 | 2 | -4 | 2 | 128 ]
[ 120< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >17 | 2 | -4 | 2 | 128 ]
[ 119< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >18 | 2 | -4 | 2 | 128 ]
[ 119< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >19 | 2 | -4 | 2 | 128 ]
[ 118< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >20 | 2 | -4 | 2 | 128 ]
[ 118< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >21 | 2 | -4 | 2 | 128 ]
[ 117< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >22 | 2 | -4 | 2 | 128 ]
[ 117< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >23 | 2 | -4 | 2 | 128 ]
[ 116< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >24 | 2 | -4 | 2 | 128 ]
[ 116< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >25 | 2 | -4 | 2 | 128 ]
[ 115< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >26 | 2 | -4 | 2 | 128 ]
[ 115< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >27 | 2 | -4 | 2 | 128 ]
[ 114< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >28 | 2 | -4 | 2 | 128 ]
[ 114< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >29 | 2 | -4 | 2 | 128 ]
[ 113< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >30 | 2 | -4 | 2 | 128 ]
[ 113< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >31 | 2 | -4 | 2 | 128 ]
[ 112< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >32 | 2 | -4 | 2 | 128 ]
[ 112< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >33 | 2 | -4 | 2 | 128 ]
[ 111< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >34 | 2 | -4 | 2 | 128 ]
[ 111< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >35 | 2 | -4 | 2 | 128 ]
[ 110< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >36 | 2 | -4 | 2 | 128 ]
[ 110< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >37 | 2 | -4 | 2 | 128 ]
[ 109< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >38 | 2 | -4 | 2 | 128 ]
[ 109< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >39 | 2 | -4 | 2 | 128 ]
[ 108< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >40 | 2 | -4 | 2 | 128 ]
[ 108< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >41 | 2 | -4 | 2 | 128 ]
[ 107< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >42 | 2 | -4 | 2 | 128 ]
[ 107< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >43 | 2 | -4 | 2 | 128 ]
[ 106< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >44 | 2 | -4 | 2 | 128 ]
[ 106< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >45 | 2 | -4 | 2 | 128 ]
[ 105< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >46 | 2 | -4 | 2 | 128 ]
[ 105< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >47 | 2 | -4 | 2 | 128 ]
[ 104< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >48 | 2 | -4 | 2 | 128 ]
[ 104< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >49 | 2 | -4 | 2 | 128 ]
[ 103< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >50 | 2 | -4 | 2 | 128 ]
[ 103< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >51 | 2 | -4 | 2 | 128 ]
[ 102< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >52 | 2 | -4 | 2 | 128 ]
[ 102< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >53 | 2 | -4 | 2 | 128 ]
[ 101< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >54 | 2 | -4 | 2 | 128 ]
[ 101< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >55 | 2 | -4 | 2 | 128 ]
[ 100< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >56 | 2 | -4 | 2 | 128 ]
[ 100< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >57 | 2 | -4 | 2 | 128 ]
[ 99< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >58 | 2 | -4 | 2 | 128 ]
[ 99< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >59 | 2 | -4 | 2 | 128 ]
[ 98< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >60 | 2 | -4 | 2 | 128 ]
[ 98< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >61 | 2 | -4 | 2 | 128 ]
[ 97< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >62 | 2 | -4 | 2 | 128 ]
[ 97< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >63 | 2 | -4 | 2 | 128 ]
[ 96< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >64 | 2 | -4 | 2 | 128 ]
[ 96< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >65 | 2 | -4 | 2 | 128 ]
[ 95< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >66 | 2 | -4 | 2 | 128 ]
[ 95< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >67 | 2 | -4 | 2 | 128 ]
[ 94< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >68 | 2 | -4 | 2 | 128 ]
[ 94< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >69 | 2 | -4 | 2 | 128 ]
[ 93< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >70 | 2 | -4 | 2 | 128 ]
[ 93< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >71 | 2 | -4 | 2 | 128 ]
[ 92< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >72 | 2 | -4 | 2 | 128 ]
[ 92< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >73 | 2 | -4 | 2 | 128 ]
[ 91< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >74 | 2 | -4 | 2 | 128 ]
[ 91< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >75 | 2 | -4 | 2 | 128 ]
[ 90< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >76 | 2 | -4 | 2 | 128 ]
[ 90< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >77 | 2 | -4 | 2 | 128 ]
[ 89< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >78 | 2 | -4 | 2 | 128 ]
[ 89< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >79 | 2 | -4 | 2 | 128 ]
[ 88< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >80 | 2 | -4 | 2 | 128 ]
[ 88< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >81 | 2 | -4 | 2 | 128 ]
[ 87< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >82 | 2 | -4 | 2 | 128 ]
[ 87< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >83 | 2 | -4 | 2 | 128 ]
[ 86< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >84 | 2 | -4 | 2 | 128 ]
[ 86< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >85 | 2 | -4 | 2 | 128 ]
[ 85< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >86 | 2 | -4 | 2 | 128 ]
[ 85< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >87 | 2 | -4 | 2 | 128 ]
[ 84< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >88 | 2 | -4 | 2 | 128 ]
[ 84< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >89 | 2 | -4 | 2 | 128 ]
[ 83< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >90 | 2 | -4 | 2 | 128 ]
[ 83< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >91 | 2 | -4 | 2 | 128 ]
[ 82< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >92 | 2 | -4 | 2 | 128 ]
[ 82< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >93 | 2 | -4 | 2 | 128 ]
[ 81< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >94 | 2 | -4 | 2 | 128 ]
[ 81< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >95 | 2 | -4 | 2 | 128 ]
[ 80< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >96 | 2 | -4 | 2 | 128 ]
[ 80< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >97 | 2 | -4 | 2 | 128 ]
[ 79< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >98 | 2 | -4 | 2 | 128 ]
[ 79< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >99 | 2 | -4 | 2 | 128 ]
[ 78< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >100 | 2 | -4 | 2 | 128 ]
[ 78< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >101 | 2 | -4 | 2 | 128 ]
[ 77< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >102 | 2 | -4 | 2 | 128 ]
[ 77< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >103 | 2 | -4 | 2 | 128 ]
[ 76< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >104 | 2 | -4 | 2 | 128 ]
[ 76< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >105 | 2 | -4 | 2 | 128 ]
[ 75< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >106 | 2 | -4 | 2 | 128 ]
[ 75< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >107 | 2 | -4 | 2 | 128 ]
[ 74< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >108 | 2 | -4 | 2 | 128 ]
[ 74< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >109 | 2 | -4 | 2 | 128 ]
[ 73< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >110 | 2 | -4 | 2 | 128 ]
[ 73< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >111 | 2 | -4 | 2 | 128 ]
[ 72< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >112 | 2 | -4 | 2 | 128 ]
[ 72< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >113 | 2 | -4 | 2 | 128 ]
[ 71< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >114 | 2 | -4 | 2 | 128 ]
[ 71< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >115 | 2 | -4 | 2 | 128 ]
[ 70< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >116 | 2 | -4 | 2 | 128 ]
[ 70< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >117 | 2 | -4 | 2 | 128 ]
[ 69< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >118 | 2 | -4 | 2 | 128 ]
[ 69< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >119 | 2 | -4 | 2 | 128 ]
[ 68< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >120 | 2 | -4 | 2 | 128 ]
[ 68< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >121 | 2 | -4 | 2 | 128 ]
[ 67< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >122 | 2 | -4 | 2 | 128 ]
[ 67< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >122 | 2 | -4 | 2 | 128 ]
[ 66< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >123 | 2 | -4 | 2 | 128 ]
[ 66< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >123 | 2 | -4 | 2 | 128 ]
[ 65< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >124 | 2 | -4 | 2 | 128 ]
[ 65< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >124 | 2 | -4 | 2 | 128 ]
[ 64< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >125 | 2 | -4 | 2 | 128 ]
[ 64< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | >125 | 2 | -4 | 2 | 128 ]
[ 63< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >2 | -4 | 2 | 128 ]
[ 63< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >1 | -4 | 2 | 128 ]
[ 62< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >1 | -4 | 2 | 128 ]
[ 62< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >2 | -4 | 2 | 128 ]
[ 61< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >3 | -4 | 2 | 128 ]
[ 61< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >4 | -4 | 2 | 128 ]
[ 60< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >5 | -4 | 2 | 128 ]
[ 60< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >6 | -4 | 2 | 128 ]
[ 59< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >7 | -4 | 2 | 128 ]
[ 59< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >8 | -4 | 2 | 128 ]
[ 58< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >9 | -4 | 2 | 128 ]
[ 58< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >10 | -4 | 2 | 128 ]
[ 57< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >11 | -4 | 2 | 128 ]
[ 57< | 0 | 0 | 3 | -21 | 9 | -11 | 1 | 125 | >12 | -4 | 2 | 128 ]
