===== Starting battle of <RandomOscillator> vs <YandereBot> with memory tape size: 14 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ 128 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 128 ]
[ 128 | -1 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 128 ]
[ 128 | -1 | 1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 128 ]
[ 128 | -1 | 1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 2< | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | >1 | 0 | 0 | 0 | 0 | 0< | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | >0 | 0 | 0 | 0 | -1< | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | >1 | 0 | 0 | 0 | -2< | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | >0 | 0 | 0< | -2 | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | >-1 | 0 | 1< | -2 | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | >0 | 2< | -2 | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | >-1 | 3< | -2 | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | >4< | -2 | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | >6< | -2 | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 7< | >-2 | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 8< | >-2 | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 9< | >-1 | 2 | 1 | -1 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 10< | >-1 | 2 | 1 | -1 | 128 ]
