===== Starting battle of <SternBot> vs <Alternator> with memory tape size: 16 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 128 ]
[ 128 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | 128 ]
[ 128 | -1 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | 128 ]
[ 128 | -1 | 1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | >1 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | >0 | 0 | 0 | 0 | 1< | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | >0 | 0 | 0< | 1 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | >-1 | 0 | -1< | 1 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1 | >0< | -1 | 1 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1 | >2< | -1 | 1 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1< | 2 | >-1 | 1 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -2< | 2 | -1 | >1 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0< | -2 | 2 | -1 | >1 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 1< | -2 | 2 | -1 | >2 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1< | 1 | -2 | 2 | -1 | >2 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1< | 1 | -2 | 2 | -1 | >3 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 0< | 1 | -2 | 2 | -1 | >3 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 0< | 1 | -2 | 2 | -1 | >4 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 0< | 1 | -2 | 2 | -1 | >4 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1< | 0 | 1 | -2 | 2 | -1 | >5 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -1< | 0 | 1 | -2 | 2 | -1 | >5 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -2< | 0 | 1 | -2 | 2 | -1 | >6 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -2< | 0 | 1 | -2 | 2 | -1 | >6 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -3< | 0 | 1 | -2 | 2 | -1 | >7 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -3< | 0 | 1 | -2 | 2 | -1 | >7 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -4< | 0 | 1 | -2 | 2 | -1 | >8 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -4< | 0 | 1 | -2 | 2 | -1 | >8 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -5< | 0 | 1 | -2 | 2 | -1 | >9 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -5< | 0 | 1 | -2 | 2 | -1 | >9 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -6< | 0 | 1 | -2 | 2 | -1 | >10 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -6< | 0 | 1 | -2 | 2 | -1 | >10 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -7< | 0 | 1 | -2 | 2 | -1 | >11 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -7< | 0 | 1 | -2 | 2 | -1 | >11 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -8< | 0 | 1 | -2 | 2 | -1 | >12 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -8< | 0 | 1 | -2 | 2 | -1 | >12 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -9< | 0 | 1 | -2 | 2 | -1 | >13 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -9< | 0 | 1 | -2 | 2 | -1 | >13 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -10< | 0 | 1 | -2 | 2 | -1 | >14 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -10< | 0 | 1 | -2 | 2 | -1 | >14 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -11< | 0 | 1 | -2 | 2 | -1 | >15 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -11< | 0 | 1 | -2 | 2 | -1 | >15 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -12< | 0 | 1 | -2 | 2 | -1 | >16 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -12< | 0 | 1 | -2 | 2 | -1 | >16 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -13< | 0 | 1 | -2 | 2 | -1 | >17 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -13< | 0 | 1 | -2 | 2 | -1 | >17 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -14< | 0 | 1 | -2 | 2 | -1 | >18 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -14< | 0 | 1 | -2 | 2 | -1 | >18 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -15< | 0 | 1 | -2 | 2 | -1 | >19 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -15< | 0 | 1 | -2 | 2 | -1 | >19 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -16< | 0 | 1 | -2 | 2 | -1 | >20 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -16< | 0 | 1 | -2 | 2 | -1 | >20 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -17< | 0 | 1 | -2 | 2 | -1 | >21 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -17< | 0 | 1 | -2 | 2 | -1 | >21 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -18< | 0 | 1 | -2 | 2 | -1 | >22 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -18< | 0 | 1 | -2 | 2 | -1 | >22 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -19< | 0 | 1 | -2 | 2 | -1 | >23 | -1 | 1 | -1 | 1 | 128 ]
[ 128 | -1 | 1 | 0 | -19< | 0 | 1 | -2 | 2 | -1 | >23 | -1 | 1 | -1 | 1 | 128 ]
